gene,total,detected,mean,detection_rate,n_cells,first_decile_library,last_decile_library
CPSF3L,17888.0,14239,0.3975111111111111,0.3164222222222222,45000,14743.567777777778,14897.587333333333
CPTP,5063.0,4726,0.11251111111111112,0.10502222222222223,45000,14743.567777777778,14897.587333333333
TAS1R3,13.0,13,0.0002888888888888889,0.0002888888888888889,45000,14743.567777777778,14897.587333333333
DVL1,12310.0,10229,0.27355555555555555,0.2273111111111111,45000,14743.567777777778,14897.587333333333
MXRA8,9771.0,8499,0.21713333333333334,0.18886666666666665,45000,14743.567777777778,14897.587333333333
AURKAIP1,421641.0,44440,9.3698,0.9875555555555555,45000,14743.567777777778,14897.587333333333
CCNL2,23357.0,17293,0.5190444444444444,0.3842888888888889,45000,14743.567777777778,14897.587333333333
MRPL20,209295.0,42585,4.651,0.9463333333333334,45000,14743.567777777778,14897.587333333333
RP4-758J18.13,1831.0,1775,0.040688888888888886,0.03944444444444444,45000,14743.567777777778,14897.587333333333
ANKRD65,18.0,18,0.0004,0.0004,45000,14743.567777777778,14897.587333333333
RP4-758J18.7,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
TMEM88B,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP4-758J18.10,129.0,129,0.0028666666666666667,0.0028666666666666667,45000,14743.567777777778,14897.587333333333
VWA1,4130.0,3865,0.09177777777777778,0.08588888888888889,45000,14743.567777777778,14897.587333333333
ATAD3C,384.0,383,0.008533333333333334,0.008511111111111112,45000,14743.567777777778,14897.587333333333
ATAD3B,18160.0,13962,0.40355555555555556,0.3102666666666667,45000,14743.567777777778,14897.587333333333
ATAD3A,37566.0,23116,0.8348,0.5136888888888889,45000,14743.567777777778,14897.587333333333
TMEM240,448.0,444,0.009955555555555556,0.009866666666666666,45000,14743.567777777778,14897.587333333333
SSU72,187547.0,42481,4.167711111111111,0.9440222222222222,45000,14743.567777777778,14897.587333333333
RP5-832C2.5,2899.0,2752,0.06442222222222223,0.06115555555555555,45000,14743.567777777778,14897.587333333333
AL645728.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
C1orf233,10065.0,8670,0.22366666666666668,0.19266666666666668,45000,14743.567777777778,14897.587333333333
RP11-345P4.9,2915.0,2786,0.06477777777777778,0.06191111111111111,45000,14743.567777777778,14897.587333333333
MIB2,10333.0,8997,0.22962222222222223,0.19993333333333332,45000,14743.567777777778,14897.587333333333
MMP23B,1942.0,1784,0.04315555555555556,0.03964444444444445,45000,14743.567777777778,14897.587333333333
CDK11B,23782.0,17461,0.5284888888888889,0.3880222222222222,45000,14743.567777777778,14897.587333333333
RP11-345P4.10,287.0,287,0.006377777777777777,0.006377777777777777,45000,14743.567777777778,14897.587333333333
SLC35E2B,18604.0,14682,0.41342222222222225,0.32626666666666665,45000,14743.567777777778,14897.587333333333
RP11-345P4.7,22.0,22,0.0004888888888888889,0.0004888888888888889,45000,14743.567777777778,14897.587333333333
CDK11A,10186.0,8766,0.22635555555555556,0.1948,45000,14743.567777777778,14897.587333333333
SLC35E2,1658.0,1594,0.036844444444444444,0.03542222222222222,45000,14743.567777777778,14897.587333333333
NADK,25103.0,18468,0.5578444444444445,0.4104,45000,14743.567777777778,14897.587333333333
GNB1,60318.0,31216,1.3404,0.6936888888888889,45000,14743.567777777778,14897.587333333333
RP1-140A9.1,331.0,330,0.007355555555555555,0.007333333333333333,45000,14743.567777777778,14897.587333333333
CALML6,23.0,23,0.0005111111111111112,0.0005111111111111112,45000,14743.567777777778,14897.587333333333
TMEM52,3315.0,3105,0.07366666666666667,0.069,45000,14743.567777777778,14897.587333333333
CFAP74,36.0,36,0.0008,0.0008,45000,14743.567777777778,14897.587333333333
RP11-547D24.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
GABRD,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-547D24.3,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PRKCZ,422.0,418,0.009377777777777778,0.009288888888888888,45000,14743.567777777778,14897.587333333333
RP5-892K4.1,178.0,145,0.003955555555555556,0.0032222222222222222,45000,14743.567777777778,14897.587333333333
RP11-181G12.2,184.0,182,0.004088888888888889,0.004044444444444444,45000,14743.567777777778,14897.587333333333
FAAP20,112202.0,39110,2.493377777777778,0.8691111111111111,45000,14743.567777777778,14897.587333333333
RP11-181G12.4,5.0,5,0.00011111111111111112,0.00011111111111111112,45000,14743.567777777778,14897.587333333333
SKI,5155.0,4780,0.11455555555555555,0.10622222222222222,45000,14743.567777777778,14897.587333333333
MORN1,1959.0,1906,0.043533333333333334,0.042355555555555556,45000,14743.567777777778,14897.587333333333
RER1,58463.0,29487,1.2991777777777778,0.6552666666666667,45000,14743.567777777778,14897.587333333333
PEX10,5838.0,5377,0.12973333333333334,0.1194888888888889,45000,14743.567777777778,14897.587333333333
PLCH2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP3-395M20.2,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
RP3-395M20.3,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PANK4,1159.0,1144,0.025755555555555556,0.02542222222222222,45000,14743.567777777778,14897.587333333333
HES5,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
RP3-395M20.12,602.0,595,0.013377777777777778,0.013222222222222222,45000,14743.567777777778,14897.587333333333
RP3-395M20.8,86.0,86,0.001911111111111111,0.001911111111111111,45000,14743.567777777778,14897.587333333333
TNFRSF14,519.0,498,0.011533333333333333,0.011066666666666667,45000,14743.567777777778,14897.587333333333
RP3-395M20.9,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
FAM213B,828.0,814,0.0184,0.01808888888888889,45000,14743.567777777778,14897.587333333333
MMEL1,2.0,2,4.4444444444444447e-05,4.4444444444444447e-05,45000,14743.567777777778,14897.587333333333
RP13-436F16.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
TTC34,224.0,223,0.004977777777777778,0.004955555555555556,45000,14743.567777777778,14897.587333333333
RP11-740P5.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-740P5.3,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
ACTRT2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
LINC00982,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
PRDM16,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP1-163G9.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-22L13.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
ARHGEF16,328.0,323,0.007288888888888889,0.007177777777777778,45000,14743.567777777778,14897.587333333333
RP11-168F9.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
MEGF6,11.0,9,0.00024444444444444443,0.0002,45000,14743.567777777778,14897.587333333333
RP11-46F15.2,101.0,100,0.0022444444444444443,0.0022222222222222222,45000,14743.567777777778,14897.587333333333
TPRG1L,2734.0,2623,0.060755555555555556,0.05828888888888889,45000,14743.567777777778,14897.587333333333
WRAP73,10224.0,8903,0.2272,0.19784444444444443,45000,14743.567777777778,14897.587333333333
TP73,1169.0,1126,0.025977777777777777,0.025022222222222223,45000,14743.567777777778,14897.587333333333
RP5-1092A11.5,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP5-1092A11.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
TP73-AS1,5465.0,5065,0.12144444444444444,0.11255555555555556,45000,14743.567777777778,14897.587333333333
CCDC27,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
SMIM1,18667.0,13332,0.4148222222222222,0.2962666666666667,45000,14743.567777777778,14897.587333333333
LRRC47,13521.0,11257,0.30046666666666666,0.2501555555555556,45000,14743.567777777778,14897.587333333333
RP1-286D6.5,78.0,78,0.0017333333333333333,0.0017333333333333333,45000,14743.567777777778,14897.587333333333
CEP104,10880.0,9352,0.24177777777777779,0.2078222222222222,45000,14743.567777777778,14897.587333333333
DFFB,4092.0,3884,0.09093333333333334,0.08631111111111112,45000,14743.567777777778,14897.587333333333
C1orf174,14757.0,12171,0.32793333333333335,0.2704666666666667,45000,14743.567777777778,14897.587333333333
LINC01134,1202.0,1181,0.026711111111111113,0.026244444444444445,45000,14743.567777777778,14897.587333333333
LINC01346,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
RP13-614K11.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP5-1166F10.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP1-37J18.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP1-37J18.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
AJAP1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-542C10.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP1-58B11.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-154H17.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
NPHP4,2203.0,2088,0.04895555555555556,0.0464,45000,14743.567777777778,14897.587333333333
KCNAB2,2016.0,1939,0.0448,0.04308888888888889,45000,14743.567777777778,14897.587333333333
CHD5,35.0,34,0.0007777777777777777,0.0007555555555555555,45000,14743.567777777778,14897.587333333333
RPL22,1436013.0,44996,31.9114,0.9999111111111111,45000,14743.567777777778,14897.587333333333
RP1-120G22.11,1899.0,1831,0.0422,0.040688888888888886,45000,14743.567777777778,14897.587333333333
RNF207,1994.0,1918,0.044311111111111114,0.04262222222222222,45000,14743.567777777778,14897.587333333333
ICMT,24209.0,17843,0.5379777777777778,0.3965111111111111,45000,14743.567777777778,14897.587333333333
LINC00337,981.0,729,0.0218,0.0162,45000,14743.567777777778,14897.587333333333
HES3,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
GPR153,380.0,375,0.008444444444444444,0.008333333333333333,45000,14743.567777777778,14897.587333333333
ACOT7,26514.0,18168,0.5892,0.40373333333333333,45000,14743.567777777778,14897.587333333333
RP1-202O8.3,344.0,339,0.007644444444444444,0.007533333333333334,45000,14743.567777777778,14897.587333333333
HES2,206.0,160,0.004577777777777778,0.0035555555555555557,45000,14743.567777777778,14897.587333333333
ESPN,110.0,105,0.0024444444444444444,0.0023333333333333335,45000,14743.567777777778,14897.587333333333
RP1-202O8.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
TNFRSF25,102.0,101,0.002266666666666667,0.0022444444444444443,45000,14743.567777777778,14897.587333333333
PLEKHG5,109.0,108,0.0024222222222222223,0.0024,45000,14743.567777777778,14897.587333333333
NOL9,13955.0,11568,0.3101111111111111,0.25706666666666667,45000,14743.567777777778,14897.587333333333
TAS1R1,13.0,13,0.0002888888888888889,0.0002888888888888889,45000,14743.567777777778,14897.587333333333
ZBTB48,4422.0,4132,0.09826666666666667,0.09182222222222222,45000,14743.567777777778,14897.587333333333
KLHL21,10184.0,8659,0.2263111111111111,0.19242222222222222,45000,14743.567777777778,14897.587333333333
PHF13,8567.0,7578,0.19037777777777778,0.1684,45000,14743.567777777778,14897.587333333333
THAP3,7135.0,6487,0.15855555555555556,0.14415555555555556,45000,14743.567777777778,14897.587333333333
DNAJC11,7907.0,7063,0.17571111111111112,0.15695555555555554,45000,14743.567777777778,14897.587333333333
RP11-242F24.1,6.0,6,0.00013333333333333334,0.00013333333333333334,45000,14743.567777777778,14897.587333333333
RP11-312B8.1,160.0,159,0.0035555555555555557,0.003533333333333333,45000,14743.567777777778,14897.587333333333
CAMTA1,116667.0,39483,2.5926,0.8774,45000,14743.567777777778,14897.587333333333
RP11-334N17.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP3-453P22.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP4-549F15.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-338N10.1,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
RP11-338N10.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-338N10.3,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
VAMP3,14077.0,11709,0.3128222222222222,0.2602,45000,14743.567777777778,14897.587333333333
PER3,5186.0,4836,0.11524444444444444,0.10746666666666667,45000,14743.567777777778,14897.587333333333
RP3-467L1.4,761.0,751,0.01691111111111111,0.01668888888888889,45000,14743.567777777778,14897.587333333333
UTS2,846.0,826,0.0188,0.018355555555555556,45000,14743.567777777778,14897.587333333333
TNFRSF9,235.0,172,0.005222222222222222,0.003822222222222222,45000,14743.567777777778,14897.587333333333
PARK7,373518.0,44307,8.3004,0.9846,45000,14743.567777777778,14897.587333333333
ERRFI1,227.0,223,0.005044444444444444,0.004955555555555556,45000,14743.567777777778,14897.587333333333
RP11-431K24.1,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
RP11-431K24.3,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP11-431K24.4,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
SLC45A1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RERE,24359.0,17902,0.5413111111111111,0.39782222222222224,45000,14743.567777777778,14897.587333333333
RP5-1115A15.1,10.0,10,0.00022222222222222223,0.00022222222222222223,45000,14743.567777777778,14897.587333333333
RP4-633I8.4,20.0,20,0.00044444444444444447,0.00044444444444444447,45000,14743.567777777778,14897.587333333333
ENO1,400126.0,43707,8.891688888888888,0.9712666666666666,45000,14743.567777777778,14897.587333333333
ENO1-AS1,1009.0,997,0.022422222222222222,0.022155555555555557,45000,14743.567777777778,14897.587333333333
CA6,3.0,3,6.666666666666667e-05,6.666666666666667e-05,45000,14743.567777777778,14897.587333333333
SLC2A7,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
SLC2A5,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
GPR157,1289.0,587,0.028644444444444445,0.013044444444444444,45000,14743.567777777778,14897.587333333333
MIR34AHG,8.0,8,0.00017777777777777779,0.00017777777777777779,45000,14743.567777777778,14897.587333333333
RP3-510D11.2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP3-510D11.4,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
H6PD,2291.0,2201,0.05091111111111111,0.048911111111111114,45000,14743.567777777778,14897.587333333333
SPSB1,97.0,94,0.0021555555555555555,0.002088888888888889,45000,14743.567777777778,14897.587333333333
RP13-392I16.1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
SLC25A33,54286.0,29013,1.2063555555555556,0.6447333333333334,45000,14743.567777777778,14897.587333333333
TMEM201,6007.0,5505,0.13348888888888888,0.12233333333333334,45000,14743.567777777778,14897.587333333333
PIK3CD,6152.0,5520,0.13671111111111112,0.12266666666666666,45000,14743.567777777778,14897.587333333333
PIK3CD-AS1,3.0,3,6.666666666666667e-05,6.666666666666667e-05,45000,14743.567777777778,14897.587333333333
PIK3CD-AS2,15845.0,12816,0.3521111111111111,0.2848,45000,14743.567777777778,14897.587333333333
CLSTN1,12401.0,10539,0.27557777777777775,0.2342,45000,14743.567777777778,14897.587333333333
AL357140.1,2.0,2,4.4444444444444447e-05,4.4444444444444447e-05,45000,14743.567777777778,14897.587333333333
CTNNBIP1,23085.0,17329,0.513,0.38508888888888887,45000,14743.567777777778,14897.587333333333
RP11-84A14.5,2.0,2,4.4444444444444447e-05,4.4444444444444447e-05,45000,14743.567777777778,14897.587333333333
LZIC,20096.0,15429,0.4465777777777778,0.34286666666666665,45000,14743.567777777778,14897.587333333333
NMNAT1,6394.0,5780,0.14208888888888888,0.12844444444444444,45000,14743.567777777778,14897.587333333333
RBP7,16.0,15,0.00035555555555555557,0.0003333333333333333,45000,14743.567777777778,14897.587333333333
UBE4B,13976.0,11743,0.3105777777777778,0.26095555555555555,45000,14743.567777777778,14897.587333333333
KIF1B,10510.0,9127,0.23355555555555554,0.2028222222222222,45000,14743.567777777778,14897.587333333333
PGD,55333.0,29207,1.2296222222222222,0.6490444444444444,45000,14743.567777777778,14897.587333333333
RP4-736L20.3,200.0,198,0.0044444444444444444,0.0044,45000,14743.567777777778,14897.587333333333
APITD1-CORT,1431.0,1395,0.0318,0.031,45000,14743.567777777778,14897.587333333333
APITD1,10940.0,9472,0.2431111111111111,0.2104888888888889,45000,14743.567777777778,14897.587333333333
CORT,95.0,95,0.002111111111111111,0.002111111111111111,45000,14743.567777777778,14897.587333333333
DFFA,34567.0,22611,0.7681555555555556,0.5024666666666666,45000,14743.567777777778,14897.587333333333
RP5-1113E3.3,15.0,15,0.0003333333333333333,0.0003333333333333333,45000,14743.567777777778,14897.587333333333
PEX14,14651.0,12039,0.3255777777777778,0.26753333333333335,45000,14743.567777777778,14897.587333333333
CASZ1,35.0,35,0.0007777777777777777,0.0007777777777777777,45000,14743.567777777778,14897.587333333333
RP4-734G22.3,3.0,3,6.666666666666667e-05,6.666666666666667e-05,45000,14743.567777777778,14897.587333333333
C1orf127,6.0,6,0.00013333333333333334,0.00013333333333333334,45000,14743.567777777778,14897.587333333333
TARDBP,44866.0,26737,0.9970222222222223,0.5941555555555555,45000,14743.567777777778,14897.587333333333
RP4-635E18.9,16.0,16,0.00035555555555555557,0.00035555555555555557,45000,14743.567777777778,14897.587333333333
MASP2,50.0,43,0.0011111111111111111,0.0009555555555555555,45000,14743.567777777778,14897.587333333333
RP4-635E18.8,319.0,317,0.0070888888888888885,0.007044444444444444,45000,14743.567777777778,14897.587333333333
SRM,314807.0,42306,6.995711111111111,0.9401333333333334,45000,14743.567777777778,14897.587333333333
EXOSC10,14244.0,11820,0.31653333333333333,0.26266666666666666,45000,14743.567777777778,14897.587333333333
RP4-635E18.7,58.0,58,0.001288888888888889,0.001288888888888889,45000,14743.567777777778,14897.587333333333
RP4-635E18.6,2382.0,2298,0.05293333333333333,0.05106666666666667,45000,14743.567777777778,14897.587333333333
MTOR,11764.0,10068,0.2614222222222222,0.22373333333333334,45000,14743.567777777778,14897.587333333333
MTOR-AS1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
ANGPTL7,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
UBIAD1,10351.0,8965,0.2300222222222222,0.19922222222222222,45000,14743.567777777778,14897.587333333333
PTCHD2,15.0,15,0.0003333333333333333,0.0003333333333333333,45000,14743.567777777778,14897.587333333333
RP1-69M21.2,12.0,12,0.0002666666666666667,0.0002666666666666667,45000,14743.567777777778,14897.587333333333
FBXO2,422.0,408,0.009377777777777778,0.009066666666666667,45000,14743.567777777778,14897.587333333333
FBXO44,2490.0,2396,0.05533333333333333,0.05324444444444444,45000,14743.567777777778,14897.587333333333
FBXO6,6064.0,5535,0.13475555555555555,0.123,45000,14743.567777777778,14897.587333333333
MAD2L2,75671.0,33570,1.6815777777777778,0.746,45000,14743.567777777778,14897.587333333333
DRAXIN,24.0,24,0.0005333333333333334,0.0005333333333333334,45000,14743.567777777778,14897.587333333333
AGTRAP,32935.0,21791,0.7318888888888889,0.4842444444444444,45000,14743.567777777778,14897.587333333333
C1orf167,265.0,263,0.005888888888888889,0.005844444444444445,45000,14743.567777777778,14897.587333333333
RP11-56N19.5,1.0,1,2.2222222222222223e-05,2.2222222222222223e-05,45000,14743.567777777778,14897.587333333333
MTHFR,11756.0,9909,0.26124444444444445,0.2202,45000,14743.567777777778,14897.587333333333
CLCN6,3821.0,3640,0.08491111111111112,0.08088888888888889,45000,14743.567777777778,14897.587333333333
NPPA-AS1,572.0,563,0.01271111111111111,0.012511111111111112,45000,14743.567777777778,14897.587333333333
NPPA,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
NPPB,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
KIAA2013,24218.0,17963,0.5381777777777778,0.3991777777777778,45000,14743.567777777778,14897.587333333333
PLOD1,9262.0,8158,0.2058222222222222,0.1812888888888889,45000,14743.567777777778,14897.587333333333
MFN2,15847.0,12791,0.35215555555555556,0.28424444444444447,45000,14743.567777777778,14897.587333333333
MIIP,24488.0,17701,0.5441777777777778,0.39335555555555557,45000,14743.567777777778,14897.587333333333
TNFRSF8,1064.0,1027,0.023644444444444444,0.022822222222222223,45000,14743.567777777778,14897.587333333333
TNFRSF1B,1316.0,1240,0.029244444444444444,0.027555555555555555,45000,14743.567777777778,14897.587333333333
VPS13D,5448.0,5039,0.12106666666666667,0.11197777777777777,45000,14743.567777777778,14897.587333333333
RP5-888M10.2,4.0,4,8.888888888888889e-05,8.888888888888889e-05,45000,14743.567777777778,14897.587333333333
DHRS3,4468.0,4134,0.09928888888888888,0.09186666666666667,45000,14743.567777777778,14897.587333333333
RP11-474O21.5,50.0,50,0.0011111111111111111,0.0011111111111111111,45000,14743.567777777778,14897.587333333333
AADACL4,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
AADACL3,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
C1orf158,3.0,3,6.666666666666667e-05,6.666666666666667e-05,45000,14743.567777777778,14897.587333333333
PRAMEF12,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PRAMEF1,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
RP5-845O24.8,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PRAMEF11,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
HNRNPCL1,14.0,14,0.0003111111111111111,0.0003111111111111111,45000,14743.567777777778,14897.587333333333
PRAMEF2,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PRAMEF4,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PRAMEF10,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
PRAMEF7,0.0,0,0.0,0.0,45000,14743.567777777778,14897.587333333333
