gene,W_observed,S2,perturbation,target_gene
RP3-465N24.6,0.0002670591208073287,0.00527073343857334,SPI1_pDS255,SPI1
PAQR7,0.00039739200790089147,0.07223355197403059,SPI1_pDS255,SPI1
STMN1,0.19627814259728205,0.05466644246192145,SPI1_pDS255,SPI1
PDIK1L,0.006082982358644494,0.013923052065778839,SPI1_pDS255,SPI1
SH3BGRL3,0.3464734286786451,0.019355181882109485,SPI1_pDS255,SPI1
CD52,0.04766395776440142,0.08200403751169766,SPI1_pDS255,SPI1
RPS6KA1,0.019294273017965814,0.06623701433511224,SPI1_pDS255,SPI1
SYTL1,0.0006124926118989015,0.1250862279153857,SPI1_pDS255,SPI1
RP1-159A19.4,0.00019437004849711038,0.03695999724359677,SPI1_pDS255,SPI1
SESN2,0.010374876395010666,0.02821718952888279,SPI1_pDS255,SPI1
SNHG12,0.01857255743266079,0.03983211012354298,SPI1_pDS255,SPI1
RAB42,0.0003275331296280737,0.008620796237155795,SPI1_pDS255,SPI1
YTHDF2,0.029114303398267753,0.06459504305738821,SPI1_pDS255,SPI1
LAPTM5,0.020443635380946814,0.03679854222354022,SPI1_pDS255,SPI1
SDC3,0.0003161865921811793,0.05241304776484683,SPI1_pDS255,SPI1
CCDC28B,0.08762349903652678,0.07451748497643947,SPI1_pDS255,SPI1
BSDC1,0.023820199861676758,0.035501800254200445,SPI1_pDS255,SPI1
ZBTB8A,0.00483713314492531,0.014775778582114834,SPI1_pDS255,SPI1
CLSPN,0.028020253330739337,0.08078337517925693,SPI1_pDS255,SPI1
THRAP3,0.029117956251928544,0.10588829033160205,SPI1_pDS255,SPI1
EVA1B,0.07980195560287748,0.13637830924511393,SPI1_pDS255,SPI1
CSF3R,0.001174610178970431,0.010294958743292679,SPI1_pDS255,SPI1
CDCA8,0.022124320288530584,0.0008348130674131647,SPI1_pDS255,SPI1
FHL3,0.012231157184011156,0.016227805361333936,SPI1_pDS255,SPI1
KIAA0754,0.005718191233632401,0.07914268113051971,SPI1_pDS255,SPI1
RP1-118J21.25,0.007108146160601797,0.11164874045473866,SPI1_pDS255,SPI1
MYCL,0.006115721979245818,0.010858759354397233,SPI1_pDS255,SPI1
CAP1,0.08344827357194634,0.040632883856363745,SPI1_pDS255,SPI1
RIMS3,0.00017049199985963773,0.016889649699129494,SPI1_pDS255,SPI1
RIMKLA,0.00011773606732024038,0.004690568385968209,SPI1_pDS255,SPI1
EBNA1BP2,0.029268563630940492,0.07911865773289627,SPI1_pDS255,SPI1
CDC20,0.019072452133834888,0.026993890739530197,SPI1_pDS255,SPI1
RP11-7O11.3,0.0020431748019989603,0.019029584139104893,SPI1_pDS255,SPI1
CCDC24,0.0015970605602481272,0.013093648308797935,SPI1_pDS255,SPI1
PTCH2,0.0002241739727601662,0.014070503988023593,SPI1_pDS255,SPI1
PRDX1,0.04053267951779992,0.04060074315342237,SPI1_pDS255,SPI1
RP4-533D7.5,0.0003948928470144975,0.09742568789180638,SPI1_pDS255,SPI1
MOB3C,0.005993334440813226,0.07797033932649786,SPI1_pDS255,SPI1
CYP4A22-AS1,9.50591347967767e-05,0.0012888552824952457,SPI1_pDS255,SPI1
LINC00853,0.007190514733908946,0.031414195902235424,SPI1_pDS255,SPI1
RP1-18D14.7,0.00029091619768630147,0.037499322520241955,SPI1_pDS255,SPI1
RNF11,0.005034543530991041,0.0007532407893739648,SPI1_pDS255,SPI1
RP11-191G24.1,0.00043945768215033115,0.06114074812142699,SPI1_pDS255,SPI1
TXNDC12,0.09557363829511839,0.0997522383053713,SPI1_pDS255,SPI1
ZYG11B,0.0066417206138005514,0.013602659125006458,SPI1_pDS255,SPI1
TMEM59,0.06408509374926283,0.06963226442372548,SPI1_pDS255,SPI1
RP11-67L3.4,0.008222250322206491,0.02791615590920682,SPI1_pDS255,SPI1
JUN,0.009717744278473543,0.02949173411748997,SPI1_pDS255,SPI1
RP4-794H19.1,0.00022075602264629812,0.08075465111104961,SPI1_pDS255,SPI1
RP11-230B22.1,8.744276400389554e-05,0.010733654058133767,SPI1_pDS255,SPI1
RP4-792G4.2,0.02090437105673984,0.051055636541428466,SPI1_pDS255,SPI1
EFCAB7,0.0071745753716486544,0.07177110156978052,SPI1_pDS255,SPI1
JAK1,0.01988565107259342,0.014161937619357237,SPI1_pDS255,SPI1
WDR78,0.0007061961020095422,0.077850222338381,SPI1_pDS255,SPI1
GADD45A,0.12438590592344649,0.052023868723347695,SPI1_pDS255,SPI1
DEPDC1,0.00947728201163275,0.009099301078939583,SPI1_pDS255,SPI1
SLC44A5,0.0002868550454560683,0.015318519494559155,SPI1_pDS255,SPI1
DNAJB4,0.010261335924936067,0.014204656355743021,SPI1_pDS255,SPI1
PRKACB,0.0003219582130858142,0.0037500523690131194,SPI1_pDS255,SPI1
ODF2L,0.02304059197643215,0.03874643313589365,SPI1_pDS255,SPI1
CLCA1,0.18396566198460754,0.23458930048169294,SPI1_pDS255,SPI1
RP4-612B15.3,0.0010995269564249173,0.06900232894561659,SPI1_pDS255,SPI1
HS2ST1,0.045436398307444024,0.08358777964741461,SPI1_pDS255,SPI1
PKN2,0.005850253891204722,0.011250789415564883,SPI1_pDS255,SPI1
GTF2B,0.015148701676248997,0.011474399725062099,SPI1_pDS255,SPI1
ZNF326,0.028713544584740975,0.018621736667776383,SPI1_pDS255,SPI1
BTBD8,0.00012796192303435905,0.004944015230895083,SPI1_pDS255,SPI1
DNTTIP2,0.032294392203147615,0.02760648737892683,SPI1_pDS255,SPI1
RWDD3,0.00034944723462159886,0.129955770613648,SPI1_pDS255,SPI1
PTBP2,0.0018355226911417036,0.009291234212595142,SPI1_pDS255,SPI1
RP4-549L20.3,0.007730243531876228,0.01345913140557235,SPI1_pDS255,SPI1
STXBP3,0.006705664403381015,0.01821145613570804,SPI1_pDS255,SPI1
WDR47,0.0010153840096476247,0.06089874013067377,SPI1_pDS255,SPI1
RP5-1065J22.8,0.0019802652680235406,0.0193710539521024,SPI1_pDS255,SPI1
KIAA1324,7.664594059540683e-05,0.0032960101539298843,SPI1_pDS255,SPI1
GSTM2,0.00010942497720384452,0.0036551599484000935,SPI1_pDS255,SPI1
RP5-1074L1.4,0.0046598646381177,0.007580844152566501,SPI1_pDS255,SPI1
CD53,0.12132866674384192,0.22447190991290214,SPI1_pDS255,SPI1
LRIF1,0.059160586206769825,0.0921281686726975,SPI1_pDS255,SPI1
DENND2D,0.044885955096239646,0.044062768602675044,SPI1_pDS255,SPI1
CHI3L2,0.46074852499355334,0.25238965715327644,SPI1_pDS255,SPI1
OVGP1,0.00018227806658779026,0.037140172725772004,SPI1_pDS255,SPI1
RHOC,0.17321833108652002,0.05101436472448272,SPI1_pDS255,SPI1
PHTF1,0.047848066293524956,0.11366236706493958,SPI1_pDS255,SPI1
RP5-1073O3.7,0.0002550535667247717,0.03274509213057164,SPI1_pDS255,SPI1
HIPK1,0.018530634762099804,0.028285569594462583,SPI1_pDS255,SPI1
ZNF697,0.0004534613650228635,0.06983601689121559,SPI1_pDS255,SPI1
PHGDH,0.029984712792735888,0.0567547250435412,SPI1_pDS255,SPI1
RP11-417J8.6,0.00033640751635983477,0.04550031509871512,SPI1_pDS255,SPI1
NBPF10,0.018043133563953834,0.04003203235172023,SPI1_pDS255,SPI1
TXNIP,0.017730622643542433,0.04369913044923439,SPI1_pDS255,SPI1
ITGA10,0.00031825679586864594,0.10184359071474876,SPI1_pDS255,SPI1
RP11-337C18.8,0.004444483685680891,0.06600188263052167,SPI1_pDS255,SPI1
RP11-14N7.2,0.002472648691852066,0.011848930536220739,SPI1_pDS255,SPI1
RP11-277L2.3,0.0001516880353342037,0.03725739114956822,SPI1_pDS255,SPI1
HIST2H2BF,0.00015444113638558632,0.028601128581802186,SPI1_pDS255,SPI1
RP11-196G18.24,0.0008431043213566643,0.09902564617352468,SPI1_pDS255,SPI1
HIST2H2BE,0.007056267493735993,0.011246780410053338,SPI1_pDS255,SPI1
HIST2H2AC,0.006786533949673724,0.009879217736610924,SPI1_pDS255,SPI1
VPS45,0.020482663336216175,0.05048400678928707,SPI1_pDS255,SPI1
RPRD2,0.009890826241317801,0.022554759664788517,SPI1_pDS255,SPI1
ECM1,0.020373314906190168,0.07193566184350081,SPI1_pDS255,SPI1
LINC00568,0.00017002186015091072,0.06936996297732165,SPI1_pDS255,SPI1
MCL1,0.027818559974648716,0.042706082799830784,SPI1_pDS255,SPI1
CTSS,0.06272946709354994,0.16734980610405417,SPI1_pDS255,SPI1
FAM63A,0.001535934577675788,0.014557494911156816,SPI1_pDS255,SPI1
C1orf56,0.0069104967283424796,0.014236265431625171,SPI1_pDS255,SPI1
CDC42SE1,0.03460556861198918,0.07023963332668114,SPI1_pDS255,SPI1
MLLT11,0.06908463273870971,0.11072383964623775,SPI1_pDS255,SPI1
GABPB2,0.004177852236802283,0.055520474247433366,SPI1_pDS255,SPI1
LYSMD1,0.00525328382081823,0.014811625804705662,SPI1_pDS255,SPI1
TUFT1,0.0002834523361589127,0.04828403161353384,SPI1_pDS255,SPI1
S100A11,0.10451540456046225,0.04293845564421229,SPI1_pDS255,SPI1
S100A4,0.03128209094047744,0.07124016568775605,SPI1_pDS255,SPI1
S100A13,0.04821342591418789,0.013239340419440459,SPI1_pDS255,SPI1
S100A1,0.004686848447072382,0.015148159533871811,SPI1_pDS255,SPI1
RP1-178F15.4,0.0010156219575252917,0.01301587683235641,SPI1_pDS255,SPI1
ILF2,0.014638320062835138,0.02747018765392346,SPI1_pDS255,SPI1
RAB13,0.0016338900305795392,0.11997885358065137,SPI1_pDS255,SPI1
PBXIP1,0.006390107426233712,0.012445225378725742,SPI1_pDS255,SPI1
MUC1,0.0019669352076436626,0.009305874949785903,SPI1_pDS255,SPI1
THBS3,0.0004419258063503043,0.04404089369309289,SPI1_pDS255,SPI1
GBA,0.0002672116380100237,0.0902643130602714,SPI1_pDS255,SPI1
FDPS,0.028423394696171226,0.06382551278235873,SPI1_pDS255,SPI1
RAB25,0.00018487769265756413,0.003232348150228036,SPI1_pDS255,SPI1
LMNA,0.016538424602377425,0.04016929957588686,SPI1_pDS255,SPI1
C1orf61,0.017563287485156648,0.049970147216753885,SPI1_pDS255,SPI1
MEF2D,0.001719123261191276,0.008730338778892524,SPI1_pDS255,SPI1
HAPLN2,0.0007482902860017078,0.02680891057782994,SPI1_pDS255,SPI1
RP11-284F21.9,0.006477781926804298,0.031025016860736353,SPI1_pDS255,SPI1
CRABP2,0.00036971314804395966,0.03238594233610169,SPI1_pDS255,SPI1
SH2D2A,0.020030775601658134,0.011809461598290006,SPI1_pDS255,SPI1
NTRK1,0.06531895050035319,0.13662225458326138,SPI1_pDS255,SPI1
PEA15,0.013824119399366772,0.0191600702683866,SPI1_pDS255,SPI1
RP11-574F21.2,0.00048421256467012254,0.0900704084047864,SPI1_pDS255,SPI1
NCSTN,0.026601381074426316,0.08419709054963054,SPI1_pDS255,SPI1
NHLH1,0.0006668226156213848,0.055787133961052865,SPI1_pDS255,SPI1
VANGL2,0.011753889139929542,0.031527853098154354,SPI1_pDS255,SPI1
ARHGAP30,0.0004916315698189688,0.021615052011651585,SPI1_pDS255,SPI1
PFDN2,0.08436211702049762,0.0428066636437809,SPI1_pDS255,SPI1
RP11-297K8.2,8.111287238267903e-05,0.03853953563733496,SPI1_pDS255,SPI1
USP21,0.00866478343890722,0.00845274306243083,SPI1_pDS255,SPI1
FCER1G,0.11180024124672776,0.1568667806313778,SPI1_pDS255,SPI1
FCGR2A,0.022084700105406953,0.054792873029898256,SPI1_pDS255,SPI1
PBX1,0.0002307416369465213,0.0029142475614799476,SPI1_pDS255,SPI1
TMCO1,0.037994902192279835,0.0625552151788105,SPI1_pDS255,SPI1
RP11-277B15.3,0.0006523168374711033,0.01183032215964218,SPI1_pDS255,SPI1
RCSD1,0.01177844398708578,0.010149034335384244,SPI1_pDS255,SPI1
MPC2,0.16509570564378384,0.019281515402340122,SPI1_pDS255,SPI1
ATP1B1,0.004603622482167291,0.030779978204977722,SPI1_pDS255,SPI1
GORAB,0.01564875732769658,0.03800585662806783,SPI1_pDS255,SPI1
TOR3A,0.057094394667598136,0.06584365799242721,SPI1_pDS255,SPI1
ABL2,0.01005596369785233,0.030130312037502386,SPI1_pDS255,SPI1
RP11-533E19.7,0.0002869359448544187,0.004670148497988366,SPI1_pDS255,SPI1
QSOX1,0.008774734239372532,0.01541017936022362,SPI1_pDS255,SPI1
KIAA1614,0.000245684979735494,0.0052078100950289285,SPI1_pDS255,SPI1
RP11-46A10.4,0.0010962037153558549,0.07812723337120865,SPI1_pDS255,SPI1
MR1,0.016487018164623474,0.04327494968077545,SPI1_pDS255,SPI1
IER5,0.017384558132633628,0.053287038170645576,SPI1_pDS255,SPI1
RNASEL,0.007966541810633804,0.02114549352541558,SPI1_pDS255,SPI1
RGS16,0.04672769905309224,0.09029343480205318,SPI1_pDS255,SPI1
RP11-317P15.4,0.0071197035972031635,0.027874348262427687,SPI1_pDS255,SPI1
LAMC1,0.00011842398872079434,0.004221890858377934,SPI1_pDS255,SPI1
SWT1,0.004961335541589488,0.029250423336305217,SPI1_pDS255,SPI1
C1orf27,0.008560156774267899,0.02560139349722749,SPI1_pDS255,SPI1
RP11-445P19.3,0.006092936931551032,0.03787889220269137,SPI1_pDS255,SPI1
RGS2,0.002705562870621855,0.05596610827334745,SPI1_pDS255,SPI1
ASPM,0.019293903132126883,0.08590465247997595,SPI1_pDS255,SPI1
ZBTB41,0.0010686351676314934,0.048569304145103256,SPI1_pDS255,SPI1
C1orf53,0.018903736238632934,0.04513919549735842,SPI1_pDS255,SPI1
IPO9-AS1,0.009247449409823196,0.009667086619865938,SPI1_pDS255,SPI1
PTPN7,0.06649694880804671,0.09737905067445195,SPI1_pDS255,SPI1
PCAT6,0.007333904576154809,0.0020275747594147376,SPI1_pDS255,SPI1
BTG2,0.014603186987205754,0.04852023296221857,SPI1_pDS255,SPI1
ATP2B4,0.007855204581933112,0.05869396507348407,SPI1_pDS255,SPI1
ZBED6,0.009808649930366795,0.01611674449537498,SPI1_pDS255,SPI1
ETNK2,0.0007612234918330395,0.010049040493001362,SPI1_pDS255,SPI1
PIK3C2B,0.00710789432819947,0.010385265959353202,SPI1_pDS255,SPI1
TMCC2,0.00016179911321182925,0.017896230059549646,SPI1_pDS255,SPI1
NUCKS1,0.06420345971776448,0.02261699164153057,SPI1_pDS255,SPI1
RP11-312O7.2,0.00010088702510593222,0.0031855025248625516,SPI1_pDS255,SPI1
RASSF5,0.006920633123010099,0.013901267527083138,SPI1_pDS255,SPI1
DYRK3,0.019515180269762084,0.01998506448290417,SPI1_pDS255,SPI1
CD55,0.02022945302089797,0.028089229874814964,SPI1_pDS255,SPI1
C1orf74,0.006062974982756205,0.013292870158386287,SPI1_pDS255,SPI1
NEK2,0.014508360806227076,0.04171579846673783,SPI1_pDS255,SPI1
DTL,0.019892472271194367,0.020308463930163004,SPI1_pDS255,SPI1
NENF,0.19897318047562382,0.005077345087704962,SPI1_pDS255,SPI1
ATF3,0.01157078786178979,0.03760022079026014,SPI1_pDS255,SPI1
FLVCR1-AS1,0.008275225011394228,0.0144656461901079,SPI1_pDS255,SPI1
VASH2,0.00013424627338495977,0.04261870855378763,SPI1_pDS255,SPI1
RPS6KC1,0.0070975701859817344,0.011895742724607887,SPI1_pDS255,SPI1
CENPF,0.04493147930126452,0.058560539818779386,SPI1_pDS255,SPI1
GPATCH2,0.0252975631500954,0.05869634074297206,SPI1_pDS255,SPI1
MARC2,0.00407884085932585,0.007465490265750996,SPI1_pDS255,SPI1
HLA-AS1,0.0001433558214309847,0.012413841536204057,SPI1_pDS255,SPI1
DUSP10,0.004712102345250965,0.06238876362796256,SPI1_pDS255,SPI1
TAF1A,0.006123583463991881,0.006674876388016197,SPI1_pDS255,SPI1
RP11-378J18.8,0.00013657956382004443,0.04710627922983845,SPI1_pDS255,SPI1
DEGS1,0.018957084811218616,0.000623407168327136,SPI1_pDS255,SPI1
WDR26,0.02379559654537658,0.04461710067206212,SPI1_pDS255,SPI1
ENAH,0.00042402702669496655,0.0627983625574416,SPI1_pDS255,SPI1
RP11-396C23.4,0.0004526699597920511,0.027733811386330846,SPI1_pDS255,SPI1
C1orf35,0.061377578367097965,0.06539050242964545,SPI1_pDS255,SPI1
GUK1,0.1923133551457587,0.07249371574980279,SPI1_pDS255,SPI1
OBSCN,0.0028842036410105898,0.01742540040447305,SPI1_pDS255,SPI1
RP4-803J11.2,0.0003660877465066624,0.00183138389766381,SPI1_pDS255,SPI1
RP5-1068B5.3,0.00016308302115698785,0.020256528876048438,SPI1_pDS255,SPI1
GALNT2,0.03639072674425654,0.05338216554111384,SPI1_pDS255,SPI1
ARV1,0.028146700161301764,0.057122834868913855,SPI1_pDS255,SPI1
RP11-295G20.2,0.07037340190172413,0.1343431153769285,SPI1_pDS255,SPI1
IRF2BP2,0.02435589254652584,0.03831516901724773,SPI1_pDS255,SPI1
ARID4B,0.02124295854857502,0.047888240822479944,SPI1_pDS255,SPI1
ERO1LB,0.0002505313911345144,0.011633930248481857,SPI1_pDS255,SPI1
RP11-385F5.5,0.00022177217786434957,0.08468968364176209,SPI1_pDS255,SPI1
ACTN2,0.01046101191134607,0.019969226451677136,SPI1_pDS255,SPI1
ZBTB18,0.00019139400702331948,0.045654934567794944,SPI1_pDS255,SPI1
C1orf100,0.00011681250275711427,0.00035914979446995273,SPI1_pDS255,SPI1
SMYD3,0.25107427018828427,0.305586241632171,SPI1_pDS255,SPI1
C1orf229,4.249832053069706e-05,0.005298360345840141,SPI1_pDS255,SPI1
SH3YL1,0.0065755307940400685,0.015086693707493666,SPI1_pDS255,SPI1
ID2,0.000497999820099839,0.08806617217773058,SPI1_pDS255,SPI1
IAH1,0.00048495595450096456,0.02836562674382623,SPI1_pDS255,SPI1
ADAM17,0.004829651521010331,0.014081708480409662,SPI1_pDS255,SPI1
RP11-214N9.1,0.0031035002122084903,0.057008723730202784,SPI1_pDS255,SPI1
RP11-254F7.2,0.0038300155964567846,0.00994442915254258,SPI1_pDS255,SPI1
RP11-254F7.4,0.005836907704290741,0.009902080893562773,SPI1_pDS255,SPI1
RRM2,0.01456956461152881,0.013537184560784269,SPI1_pDS255,SPI1
RN7SL832P,0.01150649852107452,0.014701498621327871,SPI1_pDS255,SPI1
ATP6V1C2,9.914005557914945e-05,0.02450867025538977,SPI1_pDS255,SPI1
PQLC3,0.011392029676639623,0.026565237874829877,SPI1_pDS255,SPI1
AC096559.1,0.023125721134082605,0.052876084302368745,SPI1_pDS255,SPI1
NBAS,0.02184619952254976,0.048630219486896865,SPI1_pDS255,SPI1
LINC00954,0.0010446865194803732,0.07452658527718392,SPI1_pDS255,SPI1
TTC32,0.015000393994791507,0.0342864013480511,SPI1_pDS255,SPI1
RHOB,0.023564376476553038,0.06517005283655794,SPI1_pDS255,SPI1
RP11-130L8.1,0.0002452863887823171,0.028936547847008085,SPI1_pDS255,SPI1
PFN4,0.0001003521313642157,0.003397449501940322,SPI1_pDS255,SPI1
CENPA,0.026014329414872698,0.01860492028943989,SPI1_pDS255,SPI1
FNDC4,0.020323601069875408,0.025488910833814958,SPI1_pDS255,SPI1
FOSL2,0.0007998055537548615,0.09490366445484273,SPI1_pDS255,SPI1
PPP1CB,0.009272206134715143,0.03091012838720975,SPI1_pDS255,SPI1
YPEL5,0.030697960085161104,0.06262793936090469,SPI1_pDS255,SPI1
RP11-490M8.1,0.006235310254612177,0.020425704947016815,SPI1_pDS255,SPI1
HEATR5B,0.0016506535037593979,0.005066064804963084,SPI1_pDS255,SPI1
SRSF7,0.09592494592588313,0.03736571814405944,SPI1_pDS255,SPI1
KCNG3,0.0009343338881453017,0.014437572101890643,SPI1_pDS255,SPI1
PREPL,0.003537004224390854,0.008412431659473902,SPI1_pDS255,SPI1
PRKCE,0.0008929191902276346,0.0006558387551185759,SPI1_pDS255,SPI1
SOCS5,0.00237851887117314,0.006295331347211402,SPI1_pDS255,SPI1
MSH6,0.01942696438251497,0.04202784063077127,SPI1_pDS255,SPI1
ACYP2,0.01118564083162415,0.014098450654405738,SPI1_pDS255,SPI1
RTN4,0.020314754478073536,0.007979987270454254,SPI1_pDS255,SPI1
RPS27A,0.02909814850435582,0.03319254744468357,SPI1_pDS255,SPI1
PUS10,0.006760470651167208,0.009043585300977522,SPI1_pDS255,SPI1
PEX13,0.010623472603125916,0.018166417395467233,SPI1_pDS255,SPI1
RP11-355B11.2,0.00022324254309328233,0.0578411344578535,SPI1_pDS255,SPI1
FAM161A,0.003993534785323523,0.004286024091907913,SPI1_pDS255,SPI1
AC009501.4,0.00048012952171963465,0.0721782981594966,SPI1_pDS255,SPI1
PELI1,0.007138757394120249,0.08094382552580594,SPI1_pDS255,SPI1
RP11-568N6.1,0.0003550564477006406,0.017107112304547773,SPI1_pDS255,SPI1
AFTPH,0.010214411731085983,0.030825706091176245,SPI1_pDS255,SPI1
RP11-474G23.3,0.0023907796923148756,0.015533528903288662,SPI1_pDS255,SPI1
APLF,0.00010231309293550716,0.04218989090621016,SPI1_pDS255,SPI1
ANTXR1,0.005905387842079515,0.010601525371205177,SPI1_pDS255,SPI1
AAK1,0.007394286517691948,0.01133696720744461,SPI1_pDS255,SPI1
MXD1,0.005623320395133132,0.048380720473759777,SPI1_pDS255,SPI1
AC016700.5,0.011543504888457505,0.014156988219468118,SPI1_pDS255,SPI1
MPHOSPH10,0.013990798986589463,0.08673727794540259,SPI1_pDS255,SPI1
EXOC6B,0.0010097437468289847,0.11365709649605432,SPI1_pDS255,SPI1
WDR54,0.021763684074320444,0.0374140883762016,SPI1_pDS255,SPI1
PCGF1,0.010812459283680796,0.03077532936162552,SPI1_pDS255,SPI1
TMSB10,0.05829417988364243,0.022988525933916336,SPI1_pDS255,SPI1
CAPG,0.05320991130349873,0.086274431390843,SPI1_pDS255,SPI1
VAMP5,0.0014516288939379247,0.058309445823182045,SPI1_pDS255,SPI1
RP11-301O19.1,0.002717791993497673,0.008902133526432125,SPI1_pDS255,SPI1
AC062029.1,0.0004371521800484628,0.010870632020416238,SPI1_pDS255,SPI1
TEKT4,0.01619215712087601,0.03638737622860395,SPI1_pDS255,SPI1
ARID5A,0.007832389187597053,0.013193646584723247,SPI1_pDS255,SPI1
LMAN2L,0.008535035458080995,0.004975431532766975,SPI1_pDS255,SPI1
SEMA4C,0.013673451807362166,0.036727621641326896,SPI1_pDS255,SPI1
FAM178B,0.10881233893984857,0.04079932392934302,SPI1_pDS255,SPI1
LINC01125,0.00019383710061988296,0.00515542112998124,SPI1_pDS255,SPI1
MGAT4A,0.0005346144460434036,0.08416237006392863,SPI1_pDS255,SPI1
C2orf15,0.0004137061937886776,0.06872853826077699,SPI1_pDS255,SPI1
LYG1,0.0005929628485522536,0.09295133008444832,SPI1_pDS255,SPI1
LONRF2,0.012973865583595059,0.03272316016386588,SPI1_pDS255,SPI1
IL18R1,0.002914765661133102,0.022883487406167247,SPI1_pDS255,SPI1
SLC9A2,0.0058078940430694006,0.003348798295257593,SPI1_pDS255,SPI1
RP11-332H14.2,0.019622582360427708,0.035633034769170006,SPI1_pDS255,SPI1
AC108868.6,0.6760549434381543,0.9621383879392748,SPI1_pDS255,SPI1
SULT1C4,0.0001539000657946989,0.005979423668463454,SPI1_pDS255,SPI1
MIR4435-1HG,0.020101147170594698,0.0736028856385643,SPI1_pDS255,SPI1
RP11-181E10.3,0.00013232637414473762,0.015687278648078385,SPI1_pDS255,SPI1
TMEM87B,0.01892108669717344,0.049260828534091756,SPI1_pDS255,SPI1
SLC20A1,0.08944350693144551,0.13954301039063313,SPI1_pDS255,SPI1
NT5DC4,0.011303082985254016,0.02237659371631324,SPI1_pDS255,SPI1
PAX8,0.0001591751423445337,0.0273782651015045,SPI1_pDS255,SPI1
DPP10,0.0007010146547002101,0.005110143308990561,SPI1_pDS255,SPI1
AC093901.1,0.00016715515413532855,0.003447567861903566,SPI1_pDS255,SPI1
RALB,0.008270128586551488,0.013161465756269215,SPI1_pDS255,SPI1
RP5-935K16.1,0.011640696681546462,0.022202104943331438,SPI1_pDS255,SPI1
HNMT,0.0027740764941582806,0.10940975979623764,SPI1_pDS255,SPI1
SPOPL,0.007493740768906635,0.015189994317273914,SPI1_pDS255,SPI1
MMADHC,0.018815959322102022,0.012266469389448554,SPI1_pDS255,SPI1
RBM43,0.0034785596848230507,0.03881460354012297,SPI1_pDS255,SPI1
NEB,0.0007578582851896962,0.07345495895409694,SPI1_pDS255,SPI1
AC009506.1,0.004419689489526942,0.008133588964904551,SPI1_pDS255,SPI1
PSMD14,0.03373998467952478,0.06909884619091693,SPI1_pDS255,SPI1
SCN9A,0.007157292536276088,0.08693707248943099,SPI1_pDS255,SPI1
LRP2,0.006063480624069508,0.02825632028463967,SPI1_pDS255,SPI1
SSB,0.02602090363633868,0.04186829807016428,SPI1_pDS255,SPI1
AC007405.4,0.009918107996865544,0.022669600852154564,SPI1_pDS255,SPI1
GAD1,0.029301487215525612,0.05353354819170519,SPI1_pDS255,SPI1
AC068039.4,0.00029128054978362335,0.03434024573276492,SPI1_pDS255,SPI1
AC078883.3,0.0001179787077935239,0.00859917517929492,SPI1_pDS255,SPI1
AC093818.1,0.0072932881251154755,0.012104188892548641,SPI1_pDS255,SPI1
CDCA7,0.03280826600625394,0.09255965135690465,SPI1_pDS255,SPI1
NFE2L2,0.020536793395448658,0.028703934199525157,SPI1_pDS255,SPI1
