gene,S2,p_value_perm,n_peaks_on,n_peaks_off
DEC1,0.8365503963281609,0.001996007984031936,1,6
TOM1L2,0.834802414977354,0.001996007984031936,3,3
MAGEA3,0.8347967945792436,0.001996007984031936,2,7
RP11-327J17.2,0.834787427164969,0.001996007984031936,4,4
AC006273.4,0.8347855536695009,0.001996007984031936,3,3
AC004381.6,0.833063907554,0.001996007984031936,3,6
MAT2B,0.8330413788163048,0.001996007984031936,3,6
TMPRSS11D,0.8330244818631941,0.001996007984031936,4,6
SLFN12L,0.8330113395515963,0.001996007984031936,4,6
LINC00279,0.8313405772969332,0.001996007984031936,4,5
FYN,0.8312784933617211,0.001996007984031936,4,6
CHST9,0.8312728491376891,0.001996007984031936,5,4
RP11-107N15.1,0.8312596791325747,0.001996007984031936,3,2
AC023469.1,0.831255916235646,0.001996007984031936,1,6
PLA2G16,0.8312446274426554,0.001996007984031936,1,5
C15orf38-AP3S2,0.8295363713651615,0.001996007984031936,4,2
TTC21A,0.8294967780118145,0.001996007984031936,4,5
SS18,0.8294911216642045,0.001996007984031936,2,3
RP11-693L9.2,0.8294873507443682,0.001996007984031936,3,4
CTD-2199O4.1,0.8294760378820039,0.001996007984031936,2,4
PABPC1L,0.8294741523899422,0.001996007984031936,3,6
BCAS4,0.8279171583657204,0.001996007984031936,5,4
RP11-173A6.3,0.8277509061450359,0.001996007984031936,4,3
MRPS5,0.8277206748809058,0.001996007984031936,2,6
RP11-273B20.3,0.8277187853902358,0.001996007984031936,3,4
CTSS,0.827713116892348,0.001996007984031936,3,4
TP53I3,0.8277074483556391,0.001996007984031936,3,3
TMEM126B,0.8260354250208198,0.001996007984031936,4,5
DOK4,0.8259824097047906,0.001996007984031936,2,2
PXYLP1,0.8259445395384912,0.001996007984031936,4,4
AC006458.3,0.8259445395384908,0.001996007984031936,2,4
CSTL1,0.8259388588637832,0.001996007984031936,4,5
ARID1A,0.8242765297332149,0.001996007984031936,3,2
ACTR10,0.8242613505252563,0.001996007984031936,2,4
CTD-2560E9.3,0.8242518633783296,0.001996007984031936,3,1
LINC01256,0.824204426005645,0.001996007984031936,3,4
ANKRD33,0.8241816550969362,0.001996007984031936,3,6
REPS1,0.8241759622714578,0.001996007984031936,3,3
RP11-618M23.4,0.8241759622714577,0.001996007984031936,3,6
AC005808.3,0.8241759622714577,0.001996007984031936,2,4
TMCO5A,0.8241664741416107,0.001996007984031936,4,7
RP11-160E2.11,0.8224929569529332,0.001996007984031936,3,3
ACKR4,0.8224530245257076,0.001996007984031936,4,6
CTD-2535L24.2,0.8224359100347919,0.001996007984031936,3,5
ALCAM,0.822430205125343,0.001996007984031936,2,3
ACR,0.8224168935160654,0.001996007984031936,2,6
RP11-791M20.1,0.8224073850918078,0.001996007984031936,3,4
NANOS2,0.8224073850918072,0.001996007984031936,3,5
RP11-538D16.3,0.8224073850918072,0.001996007984031936,2,5
WAC,0.822407385091807,0.001996007984031936,1,7
RP5-1024G6.5,0.822405483393764,0.001996007984031936,2,5
PRIM2,0.822405483393764,0.001996007984031936,1,2
TRAV8-1,0.8207512421576137,0.001996007984031936,2,2
MRPS23,0.8206673944156947,0.001996007984031936,1,5
DRD1,0.820644525362886,0.001996007984031936,5,5
TMPO,0.8206388080001056,0.001996007984031936,3,7
PARN,0.8206330905974927,0.001996007984031936,2,5
HK3,0.8190306477511923,0.001996007984031936,3,5
SNURF,0.8189103381315007,0.001996007984031936,2,4
MCEE,0.8188988791506336,0.001996007984031936,2,5
RP11-498P14.5,0.8188759607078442,0.001996007984031936,4,3
LCN2,0.818864501245908,0.001996007984031936,3,6
AK9,0.818864501245908,0.001996007984031936,3,6
TRBV24-1,0.8188625913199941,0.001996007984031936,3,4
RP11-148O21.6,0.8172088335303829,0.001996007984031936,5,4
PANK1,0.8171475898531648,0.001996007984031936,4,3
OVOL1-AS1,0.8171265362789786,0.001996007984031936,1,6
MFSD3,0.8170997400363574,0.001996007984031936,3,6
PCLO,0.8170959119299616,0.001996007984031936,2,3
RP11-386I8.6,0.8170939978700378,0.001996007984031936,3,5
LINC01300,0.8170939978700378,0.001996007984031936,3,4
RP11-867G23.12,0.8156015804972722,0.001996007984031936,3,4
AC159540.1,0.8153733583809128,0.001996007984031936,2,4
RP5-1011O1.2,0.8153714402773469,0.001996007984031936,2,4
RP11-181G12.2,0.8153407500066019,0.001996007984031936,3,4
RP1-251M9.3,0.8153330772584121,0.001996007984031936,3,4
RP11-793B23.1,0.8153311590600828,0.001996007984031936,2,6
AC079767.4,0.8153273226498851,0.001996007984031936,2,5
ACTA2,0.8136798343071564,0.001996007984031936,2,4
AL049794.1,0.8136798343071563,0.001996007984031936,4,5
LINC01410,0.8136510023940916,0.001996007984031936,2,5
RP11-715J22.4,0.8136106359993167,0.001996007984031936,4,4
RP11-359K18.3,0.8136048692080023,0.001996007984031936,2,7
RP1-155D22.1,0.8135875685888053,0.001996007984031936,4,5
ARHGEF6,0.8135702676017099,0.001996007984031936,4,4
RP11-147L13.14,0.8135702676017095,0.001996007984031936,3,5
RP11-114H24.7,0.8135645005242517,0.001996007984031936,2,6
ABCA10,0.8135645005242512,0.001996007984031936,3,4
AZU1,0.8135645005242512,0.001996007984031936,2,4
AC009410.1,0.8135645005242509,0.001996007984031936,3,4
AC008753.4,0.811824821677015,0.001996007984031936,5,8
MAZ,0.8118248216770146,0.001996007984031936,3,6
RP11-770E5.1,0.8118055565939273,0.001996007984031936,4,2
AC011343.1,0.8117959238809381,0.001996007984031936,2,5
CEND1,0.8117959238809377,0.001996007984031936,2,3
AC093495.4,0.8117939973246231,0.001996007984031936,4,4
CLCNKA,0.8117901441982796,0.001996007984031936,4,6
ZNF718,0.8117901441982788,0.001996007984031936,2,4
SMN2,0.8100370010734297,0.001996007984031936,3,5
DEFB113,0.8100331395894899,0.001996007984031936,5,4
SKA1,0.810027347329066,0.001996007984031936,3,3
CKLF-CMTM1,0.8082974696455094,0.001996007984031936,2,2
OR6C65,0.8082877951251417,0.001996007984031936,4,3
DESI2,0.8082819903573383,0.001996007984031936,3,6
PIGT,0.8082742506020858,0.001996007984031936,5,5
COL18A1-AS2,0.8082587708692383,0.001996007984031936,5,4
PBK,0.8082587708692379,0.001996007984031936,3,5
NAPB,0.8082587708692378,0.001996007984031936,3,3
RP3-403L10.3,0.808256835881786,0.001996007984031936,3,5
LINC01048,0.8082529658929863,0.001996007984031936,2,3
CSF3,0.8082529658929863,0.001996007984031936,2,3
IL12RB2,0.8082529658929859,0.001996007984031936,4,5
ITGB6,0.8066123566404474,0.001996007984031936,4,3
SPTBN2,0.8065425519699179,0.001996007984031936,3,5
RP11-294C11.1,0.8065367346413331,0.001996007984031936,4,6
ZBTB43,0.80649989058588,0.001996007984031936,3,5
RP3-428L16.2,0.8064998905858798,0.001996007984031936,2,5
OTOP1,0.8064960121663394,0.001996007984031936,2,4
CTD-2260A17.3,0.8064882552713044,0.001996007984031936,4,5
CDON,0.806484376795809,0.001996007984031936,2,4
EXTL3-AS1,0.8064824375510669,0.001996007984031936,2,5
RASSF6,0.8064824375510663,0.001996007984031936,3,7
POLR2A,0.8048149003588254,0.001996007984031936,3,5
XXYLT1-AS1,0.8047371660008146,0.001996007984031936,2,6
TRGV1,0.8047274486780931,0.001996007984031936,3,3
GATA3-AS1,0.8047274486780928,0.001996007984031936,1,5
RP11-81H14.1,0.8047216182281354,0.001996007984031936,2,3
AP1G2,0.8047157877359353,0.001996007984031936,2,7
RP11-426J5.2,0.8029530420480898,0.001996007984031936,2,3
EED,0.8029530420480896,0.001996007984031936,3,5
ZNF140,0.8029530420480896,0.001996007984031936,4,5
MAP2,0.8012723043281331,0.001996007984031936,4,3
RP11-893F2.15,0.8012078904682925,0.001996007984031936,3,4
RP11-52J3.3,0.8011942262565,0.001996007984031936,1,5
DIRAS2,0.8011844659625408,0.001996007984031936,2,6
ZFP90,0.8011786097290906,0.001996007984031936,3,3
KCNJ14,0.8011766576417615,0.001996007984031936,2,4
RASD1,0.7994784919790912,0.001996007984031936,4,5
GSDMA,0.7994628419369145,0.001996007984031936,4,6
RAB33A,0.7994550168009407,0.001996007984031936,5,3
ENTPD1,0.7994452352732624,0.001996007984031936,4,3
PCDHB2,0.7994315409334452,0.001996007984031936,1,8
PRLR,0.7994315409334446,0.001996007984031936,3,2
LL0XNC01-237H1.2,0.7994256718588545,0.001996007984031936,1,3
CTD-2215E18.2,0.7994158899721157,0.001996007984031936,2,4
ZMYM6NB,0.7994158899721154,0.001996007984031936,3,4
SLIRP,0.7994158899721154,0.001996007984031936,2,5
UBALD2,0.7994100207826188,0.001996007984031936,2,4
RP11-571L19.7,0.799408064376544,0.001996007984031936,2,2
SRR,0.7980295642710978,0.001996007984031936,4,5
FADS2,0.7977355419176221,0.001996007984031936,2,4
AC025171.1,0.7976571176527153,0.001996007984031936,1,5
FAM138E,0.7976551569473005,0.001996007984031936,4,8
AC004637.1,0.7976551569473003,0.001996007984031936,2,5
GPLD1,0.7976414318744511,0.001996007984031936,4,4
RP11-360I2.1,0.7976414318744511,0.001996007984031936,2,4
RP11-774I5.1,0.7976414318744507,0.001996007984031936,3,5
PCDHB11,0.7976414318744504,0.001996007984031936,3,7
RP11-262K1.1,0.7959494781653913,0.001996007984031936,3,5
RP11-132N15.2,0.7959082139958495,0.001996007984031936,4,5
RP11-303E16.7,0.7959082139958493,0.001996007984031936,4,6
MPO,0.7958846335098404,0.001996007984031936,3,5
ASIP,0.7958846335098402,0.001996007984031936,3,5
RP5-1121E10.2,0.795876773192582,0.001996007984031936,3,3
LINC01036,0.7958767731925818,0.001996007984031936,3,3
RP11-553L6.5,0.7958728430048413,0.001996007984031936,4,5
RP11-15B24.1,0.795872843004841,0.001996007984031936,3,6
RP11-276H7.2,0.7941987833616969,0.001996007984031936,3,5
SLC12A9,0.7941672748826736,0.001996007984031936,4,2
OGDH,0.7941397039380256,0.001996007984031936,3,3
AC092687.4,0.7941337957539226,0.001996007984031936,2,5
CTD-2591A6.2,0.7941259181067422,0.001996007984031936,2,6
SLC38A8,0.7941180403814152,0.001996007984031936,4,2
RP13-270P17.1,0.7941160709378732,0.001996007984031936,3,5
RP11-712B9.2,0.7941101625779414,0.001996007984031936,2,4
RP11-400N13.3,0.7941101625779409,0.001996007984031936,3,4
RP11-77K12.7,0.7924659301863989,0.001996007984031936,3,4
RP11-284F21.11,0.7924659301863983,0.001996007984031936,4,7
ABR,0.7923652729001156,0.001996007984031936,2,6
DPPA4,0.792347508522206,0.001996007984031936,3,6
TMEM198,0.7923415869743966,0.001996007984031936,2,5
RNASE2,0.7923415869743964,0.001996007984031936,4,7
RP11-544D21.2,0.7923415869743964,0.001996007984031936,4,4
RP11-350N15.3,0.7923415869743962,0.001996007984031936,3,4
RTEL1-TNFRSF6B,0.7923396131152921,0.001996007984031936,1,2
ODF3B,0.7923396131152919,0.001996007984031936,2,4
ELOVL2,0.790630379285089,0.001996007984031936,3,2
AC012370.3,0.7906026849971394,0.001996007984031936,3,3
PRR5,0.7906026849971389,0.001996007984031936,4,4
CBR4,0.790578946263886,0.001996007984031936,3,5
RP11-62N21.1,0.7905789462638858,0.001996007984031936,3,5
FBXL6,0.7905730114691963,0.001996007984031936,3,3
KLHDC4,0.7905710331943995,0.001996007984031936,3,6
CTB-43E15.2,0.7905710331943987,0.001996007984031936,3,4
EIF4E3,0.7905650983403059,0.001996007984031936,4,3
TMEM52B,0.7905650983403056,0.001996007984031936,1,2
CCDC24,0.7888619324936906,0.001996007984031936,3,3
INHA,0.7888282281977748,0.001996007984031936,2,3
C2orf16,0.7888282281977744,0.001996007984031936,4,5
OVCH1-AS1,0.7888202975659185,0.001996007984031936,2,4
POT1,0.7888103841639729,0.001996007984031936,4,4
GLIDR,0.788804436063003,0.001996007984031936,2,4
AC004744.3,0.7888044360630027,0.001996007984031936,1,5
RP11-545M17.1,0.7888024533527118,0.001996007984031936,2,7
PLCB2,0.7887984879171801,0.001996007984031936,5,7
HAPLN2,0.7887984879171793,0.001996007984031936,4,4
RP11-534L20.5,0.7887965051919379,0.001996007984031936,4,5
LUM,0.7872325653329486,0.001996007984031936,2,6
ADGRD1,0.7871073953810909,0.001996007984031936,4,4
RAI2,0.7871054083959733,0.001996007984031936,3,5
AC005618.8,0.7870994474105222,0.001996007984031936,3,6
TMEM53,0.7870597063537595,0.001996007984031936,1,3
IGKV1-27,0.7870517579016072,0.001996007984031936,3,5
NEMP2,0.7870457965098137,0.001996007984031936,3,3
RP11-278C7.4,0.7870438093691823,0.001996007984031936,2,4
ZNF721,0.7870358607564828,0.001996007984031936,2,6
C12orf65,0.7870338735907648,0.001996007984031936,3,6
ARL6IP5,0.7870338735907646,0.001996007984031936,2,2
AC092159.3,0.7870338735907637,0.001996007984031936,2,2
OR5R1,0.7870298992442766,0.001996007984031936,2,4
PLA2G5,0.7870279120635059,0.001996007984031936,3,5
CTD-2194D22.2,0.7853728353072182,0.001996007984031936,3,2
SLCO1C1,0.7852832184981823,0.001996007984031936,3,3
AC007193.10,0.7852772436806145,0.001996007984031936,4,2
R3HDML,0.7852672855503096,0.001996007984031936,3,3
AVIL,0.7852652939090955,0.001996007984031936,3,4
NCDN,0.7852613106115119,0.001996007984031936,4,5
REM1,0.7852613106115117,0.001996007984031936,2,6
YY1AP1,0.7852613106115117,0.001996007984031936,2,4
RP11-190A12.8,0.7852593189551432,0.001996007984031936,3,5
C6orf1,0.7852593189551432,0.001996007984031936,2,3
CTD-2203K17.1,0.7835885313433759,0.001996007984031936,5,4
ZNF7,0.7835286518886501,0.001996007984031936,3,4
MYD88,0.7835286518886494,0.001996007984031936,4,7
KIF5C,0.7835146793574111,0.001996007984031936,4,4
SLCO3A1,0.7835146793574108,0.001996007984031936,3,4
HOXA3,0.783508691053459,0.001996007984031936,2,7
EPHB1,0.7835086910534582,0.001996007984031936,4,5
MTUS2,0.7835046988253973,0.001996007984031936,3,4
TRAPPC4,0.7835046988253973,0.001996007984031936,2,6
RP11-147C23.1,0.7835046988253969,0.001996007984031936,3,6
RP11-659P15.1,0.7835046988253963,0.001996007984031936,1,6
CITED1,0.7835046988253963,0.001996007984031936,3,7
GP5,0.7834987104451633,0.001996007984031936,3,5
TARBP1,0.7834987104451633,0.001996007984031936,2,3
RP5-921G16.2,0.7834967143082479,0.001996007984031936,2,5
LACE1,0.783492722019159,0.001996007984031936,2,3
SRRM5,0.7834887297097275,0.001996007984031936,4,4
MRPL55,0.781826160763134,0.001996007984031936,3,5
CABIN1,0.7817781495767729,0.001996007984031936,3,4
RP11-737O24.1,0.7817721479711595,0.001996007984031936,2,4
DTX3L,0.7817721479711591,0.001996007984031936,4,3
RP11-13K12.5,0.7817541428778704,0.001996007984031936,3,6
RP11-434P11.2,0.7817361373698845,0.001996007984031936,4,3
SNHG19,0.7817361373698841,0.001996007984031936,3,4
AP001063.1,0.7817361373698841,0.001996007984031936,3,3
LINC01247,0.781730135441729,0.001996007984031936,4,3
BAX,0.7817301354417288,0.001996007984031936,2,4
GPSM1,0.7817241334674926,0.001996007984031936,2,3
AK4,0.7817241334674918,0.001996007984031936,3,6
FLJ13224,0.7817221327991734,0.001996007984031936,3,6
LGALS16,0.7800096835418275,0.001996007984031936,4,3
OR6N1,0.7800096835418271,0.001996007984031936,3,5
TRAF5,0.7799615605406992,0.001996007984031936,3,4
DENND6B,0.779961560540699,0.001996007984031936,2,4
EFEMP2,0.779961560540699,0.001996007984031936,2,6
EXOC3L1,0.7799595553512179,0.001996007984031936,3,4
KCTD12,0.7799555449567884,0.001996007984031936,5,5
NNT-AS1,0.779955544956788,0.001996007984031936,5,4
MOB3A,0.7799555449567878,0.001996007984031936,3,6
RP1-266L20.4,0.7799535397518411,0.001996007984031936,4,4
NAMPT,0.7799535397518406,0.001996007984031936,2,3
RP11-244M2.1,0.7783919249730477,0.001996007984031936,4,6
ATP8B1,0.778287437980155,0.001996007984031936,4,2
IGLCOR22-2,0.7782412181047657,0.001996007984031936,3,3
LDLR,0.7782412181047649,0.001996007984031936,3,5
ABCG4,0.7782351892229921,0.001996007984031936,2,4
RP1-56K13.2,0.7782231313193292,0.001996007984031936,3,3
RP1-187B23.1,0.7782231313193287,0.001996007984031936,4,5
TRBV18,0.7782171022974368,0.001996007984031936,2,6
TOMM6,0.7782150926130926,0.001996007984031936,3,3
RP11-727F15.9,0.7782010246773687,0.001996007984031936,3,4
PPM1B,0.7781929857427721,0.001996007984031936,2,5
RP11-404K5.4,0.7781929857427718,0.001996007984031936,2,7
FAM47C,0.7781929857427714,0.001996007984031936,3,4
ATP6V1C2,0.7781929857427714,0.001996007984031936,3,5
CUL5,0.7781909759961467,0.001996007984031936,4,4
RP11-524H19.2,0.778186956487326,0.001996007984031936,3,5
RP11-480D4.2,0.7781869564873256,0.001996007984031936,2,6
AHSA1,0.7765633868228773,0.001996007984031936,4,3
RP11-168K9.2,0.7764888666745304,0.001996007984031936,4,5
CDH19,0.7764787958356786,0.001996007984031936,5,6
DDX58,0.7764727532696708,0.001996007984031936,3,4
LINC00589,0.7764546252894994,0.001996007984031936,4,5
RP11-254F19.3,0.7764546252894986,0.001996007984031936,3,4
AC073284.4,0.7764304539908823,0.001996007984031936,3,3
CACNA1G,0.7764244110486515,0.001996007984031936,2,6
RNF122,0.7764244110486509,0.001996007984031936,2,3
HIST1H2AC,0.7764223967241227,0.001996007984031936,2,6
SUPT3H,0.7764183680593877,0.001996007984031936,3,3
MT2A,0.7748274257150859,0.001996007984031936,4,2
AC004941.3,0.7746719876563117,0.001996007984031936,4,6
VPS37D,0.7746639120997733,0.001996007984031936,3,7
RP3-323A16.1,0.7746618931974838,0.001996007984031936,3,5
MTRNR2L8,0.7746618931974836,0.001996007984031936,5,5
ANP32E,0.7746558364590485,0.001996007984031936,2,3
GRPEL2,0.7746558364590481,0.001996007984031936,2,4
FXYD6,0.7746558364590481,0.001996007984031936,4,3
PWRN3,0.7746558364590478,0.001996007984031936,4,7
CTB-17P3.4,0.7746558364590476,0.001996007984031936,2,5
LRP10,0.7731300487061751,0.001996007984031936,4,4
RP11-455F5.4,0.7730491282679575,0.001996007984031936,2,6
TSPY9P,0.7729358254219161,0.001996007984031936,3,3
LAMB3,0.7729297551578774,0.001996007984031936,4,5
AC116609.1,0.7729176144867781,0.001996007984031936,3,5
LINC01623,0.7729115440797151,0.001996007984031936,1,6
HMGB3,0.7729034501294658,0.001996007984031936,3,4
AC114763.1,0.7728973796111555,0.001996007984031936,3,4
RBM34,0.7728973796111551,0.001996007984031936,1,5
DDIAS,0.7728933325724592,0.001996007984031936,3,3
LYZ,0.772893332572459,0.001996007984031936,4,4
OAZ1,0.7728872619746816,0.001996007984031936,5,5
RP11-375D13.3,0.7728872619746813,0.001996007984031936,2,3
CYP2C8,0.7728852384314934,0.001996007984031936,1,2
CENPL,0.7728811913292222,0.001996007984031936,2,5
RP1,0.7728811913292214,0.001996007984031936,4,5
IRF1,0.7711673624176131,0.001996007984031936,4,3
ATP5EP2,0.7711349128780982,0.001996007984031936,2,5
AC012314.8,0.7711288284374211,0.001996007984031936,5,3
CNTNAP4,0.7711288284374208,0.001996007984031936,2,3
PABPC1L2A,0.771124772116965,0.001996007984031936,5,4
TMEM207,0.771124772116965,0.001996007984031936,2,4
ACSL4,0.771124772116965,0.001996007984031936,4,4
PRCC,0.771118687596274,0.001996007984031936,1,5
ZNF107,0.7711186875962738,0.001996007984031936,3,5
SYCE1L,0.7711166594120407,0.001996007984031936,2,7
C1QA,0.7711166594120407,0.001996007984031936,2,4
GS1-251I9.3,0.7711126030275717,0.001996007984031936,3,6
ZMYM6,0.7711126030275717,0.001996007984031936,3,3
FAM83A-AS1,0.771112603027571,0.001996007984031936,1,5
ERVV-2,0.771110574827335,0.001996007984031936,3,5
GNAS,0.7695208532686385,0.001996007984031936,3,4
RP11-74C3.1,0.7693806053792356,0.001996007984031936,3,4
DNAJB9,0.7693663759041076,0.001996007984031936,2,7
MRPL22,0.7693562118321716,0.001996007984031936,3,4
AC007557.5,0.7693501133245562,0.001996007984031936,4,5
RP11-355F16.1,0.7693501133245556,0.001996007984031936,2,3
KRTAP4-8,0.7693480804779416,0.001996007984031936,2,2
JAK2,0.7693440147685977,0.001996007984031936,3,3
GRPEL2-AS1,0.7693419819058698,0.001996007984031936,2,2
PLEKHG3,0.7676080265643573,0.001996007984031936,2,5
RP11-318K12.2,0.7675978392094112,0.001996007984031936,4,3
SLC45A1,0.7675917267315444,0.001996007984031936,3,6
RP11-413P11.1,0.7675876517192586,0.001996007984031936,5,5
AC011747.3,0.7675876517192582,0.001996007984031936,1,4
AC009506.1,0.7675815391602668,0.001996007984031936,3,4
LEPR,0.7675815391602665,0.001996007984031936,3,6
ZKSCAN8,0.7675815391602665,0.001996007984031936,5,6
TRAPPC10,0.7675815391602665,0.001996007984031936,2,7
RP11-270M14.4,0.767581539160266,0.001996007984031936,4,4
RP11-358M14.2,0.767581539160266,0.001996007984031936,3,4
RP11-554A11.5,0.7675754265525974,0.001996007984031936,3,6
UPF3A,0.7675754265525974,0.001996007984031936,2,3
AC008641.1,0.7660089944076135,0.001996007984031936,3,4
AURKA,0.7659416149933995,0.001996007984031936,4,4
