gene,S2,p_value_perm,target
AC011747.3,0.7675876517192582,0.004975124378109453,CEBPE
RN7SL832P,0.7570010871954316,0.8855721393034826,CEBPE
AC092687.3,0.7428130907481759,0.004975124378109453,CEBPE
ATP6V1C2,0.7781929857427714,0.004975124378109453,CEBPE
AC092687.4,0.7941337957539226,0.004975124378109453,CEBPE
GACAT3,0.5783557479530759,0.05472636815920398,CEBPE
RP11-130L8.1,0.6561806891415213,0.06965174129353234,CEBPE
AC009411.2,0.6773821101035989,0.004975124378109453,CEBPE
TP53I3,0.8277074483556391,0.014925373134328358,CEBPE
CENPO,0.5854405300403809,0.16417910447761194,CEBPE
RAB10,0.6986408188655914,0.029850746268656716,CEBPE
SLC30A3,0.6154922876023651,0.04975124378109453,CEBPE
C2orf16,0.7888282281977744,0.13432835820895522,CEBPE
ALK,0.836561613523647,0.004975124378109453,CEBPE
XDH,0.6897916030385923,0.39303482587064675,CEBPE
LINC01317,0.6756968674735118,0.004975124378109453,CEBPE
EIF2AK2,0.6544289042671353,0.9751243781094527,CEBPE
HNRNPLL,0.6685977263370401,0.3781094527363184,CEBPE
PPM1B,0.7781929857427721,0.004975124378109453,CEBPE
AC016722.4,0.6579658424742316,0.13930348258706468,CEBPE
FBXO11,0.6933286015578924,0.5522388059701493,CEBPE
RP11-191L17.1,0.7110048249179597,0.009950248756218905,CEBPE
PSME4,0.6986139552973553,0.06467661691542288,CEBPE
ACYP2,0.680921554141074,0.681592039800995,CEBPE
PPP4R3B,0.684476969488819,0.3482587064676617,CEBPE
FANCL,0.6384833241705434,0.009950248756218905,CEBPE
PUS10,0.7268979101662937,0.01990049751243781,CEBPE
TMEM17,0.6809560058881239,0.004975124378109453,CEBPE
AC008074.4,0.7004293995232315,0.024875621890547265,CEBPE
CEP68,0.7021711065238272,0.004975124378109453,CEBPE
SPRED2,0.5747969357112533,0.004975124378109453,CEBPE
AC012370.3,0.7906026849971394,0.004975124378109453,CEBPE
MEIS1,0.7039062821284551,0.19900497512437812,CEBPE
MCEE,0.8188988791506336,0.004975124378109453,CEBPE
RP11-434P11.2,0.7817361373698845,0.004975124378109453,CEBPE
RTKN,0.7092186572657078,0.029850746268656716,CEBPE
RP11-355F16.1,0.7693501133245556,0.004975124378109453,CEBPE
LRRTM4,0.6950633507437205,0.263681592039801,CEBPE
VAMP8,0.852467704767225,0.004975124378109453,CEBPE
FOXI3,0.6879958263884947,0.3582089552238806,CEBPE
IGKV4-1,0.6172456244082607,0.2835820895522388,CEBPE
IGKV2-23,0.516457749591982,0.2935323383084577,CEBPE
IGKV1-27,0.7870517579016072,0.004975124378109453,CEBPE
IGKV2-38,0.6809330382504334,0.31343283582089554,CEBPE
IGKV1D-35,0.7357408463660836,0.004975124378109453,CEBPE
IGKV1D-16,0.688014011941109,0.20398009950248755,CEBPE
MRPS5,0.8277206748809058,0.004975124378109453,CEBPE
RP11-440D17.4,0.5358996601410799,0.5920398009950248,CEBPE
CIAO1,0.7357578518172897,0.004975124378109453,CEBPE
ARID5A,0.6845386592960095,0.12935323383084577,CEBPE
FER1L5,0.7056815173654426,0.2736318407960199,CEBPE
AC159540.1,0.8153733583809128,0.0945273631840796,CEBPE
AC092667.2,0.6933015321555644,0.5373134328358209,CEBPE
PDCL3,0.5465939462790959,0.43283582089552236,CEBPE
AC092168.3,0.6314141072745874,0.01990049751243781,CEBPE
IL18R1,0.7587366086991806,0.04975124378109453,CEBPE
AC096554.1,0.6650115061838262,0.6119402985074627,CEBPE
FHL2,0.7411479050970254,0.004975124378109453,CEBPE
AC108938.5,0.6720787173277513,0.8656716417910447,CEBPE
ZC3H6,0.7623024890792398,0.004975124378109453,CEBPE
DPP10-AS3,0.7109784285107736,0.004975124378109453,CEBPE
DDX18,0.6614578608451288,0.004975124378109453,CEBPE
RP11-98C1.2,0.7658129651041486,0.004975124378109453,CEBPE
RALB,0.7021777884903074,0.01990049751243781,CEBPE
TSN,0.6986005231258644,0.19900497512437812,CEBPE
CCDC115,0.7233953286022835,0.004975124378109453,CEBPE
CFC1B,0.8896081008410476,0.004975124378109453,CEBPE
AMER3,0.6686819314217833,0.1890547263681592,CEBPE
PLEKHB2,0.5447395401492572,0.3034825870646766,CEBPE
AJ239322.3,0.7445900851487237,0.004975124378109453,CEBPE
AC016909.1,0.74104660867845,0.009950248756218905,CEBPE
AC010890.1,0.6879958263884949,0.746268656716418,CEBPE
AC114763.1,0.7728973796111555,0.004975124378109453,CEBPE
RP11-570L15.2,0.7109850277044458,0.23383084577114427,CEBPE
CTD-2252P21.1,0.7499020603110796,0.009950248756218905,CEBPE
AC023128.1,0.7392843677709289,0.004975124378109453,CEBPE
AC062032.1,0.7039062821284551,0.05970149253731343,CEBPE
KIF5C,0.7835146793574111,0.004975124378109453,CEBPE
AC016682.1,0.7641426389452942,0.004975124378109453,CEBPE
AC023469.2,0.7534495559424416,0.004975124378109453,CEBPE
AC023469.1,0.831255916235646,0.004975124378109453,CEBPE
RIF1,0.7446404940638952,0.004975124378109453,CEBPE
RP11-546J1.1,0.6897711969818858,0.004975124378109453,CEBPE
AC009506.1,0.7675815391602668,0.004975124378109453,CEBPE
LY75,0.5571643820844925,0.06965174129353234,CEBPE
ITGB6,0.8066123566404474,0.09950248756218906,CEBPE
AC007556.3,0.5572205195538629,0.004975124378109453,CEBPE
UBR3,0.7109938265340626,0.004975124378109453,CEBPE
MYO3B,0.6473961058958997,0.24875621890547264,CEBPE
DLX2,0.6951780968609471,0.15422885572139303,CEBPE
SP9,0.7180593313524328,0.07462686567164178,CEBPE
ATP5G3,0.7039062821284544,0.07462686567164178,CEBPE
HOXD1,0.7021532876356726,0.5223880597014925,CEBPE
PDE11A,0.7269108194466565,0.004975124378109453,CEBPE
SESTD1,0.7251465773803605,0.004975124378109453,CEBPE
LINC01090,0.5712624951384176,0.15422885572139303,CEBPE
NEMP2,0.7870457965098137,0.004975124378109453,CEBPE
STAT1,0.5482681036077371,0.009950248756218905,CEBPE
AC013401.2,0.5943540525648069,0.0845771144278607,CEBPE
PCGEM1,0.6208029451687664,0.004975124378109453,CEBPE
SLC39A10,0.5907460108668672,0.004975124378109453,CEBPE
RP11-107N15.1,0.8312596791325747,0.08955223880597014,CEBPE
DYTN,0.5164426080665151,0.8905472636815921,CEBPE
FASTKD2,0.8596348562887984,0.004975124378109453,CEBPE
RP11-95H11.1,0.8631118619823784,0.004975124378109453,CEBPE
CPO,0.6561592378116111,0.004975124378109453,CEBPE
AC079767.4,0.8153273226498851,0.004975124378109453,CEBPE
CCNYL1,0.7021621971362736,0.07462686567164178,CEBPE
CRYGD,0.6862204208160673,0.8656716417910447,CEBPE
MAP2,0.8012723043281331,0.009950248756218905,CEBPE
RP11-260M2.1,0.6986072392438918,0.04477611940298507,CEBPE
AC093381.2,0.7251357934893162,0.004975124378109453,CEBPE
SPAG16,0.7234191100290079,0.004975124378109453,CEBPE
AC073284.4,0.7764304539908823,0.35323383084577115,CEBPE
ATIC,0.6897553251870729,0.03980099502487562,CEBPE
AC007557.5,0.7693501133245562,0.004975124378109453,CEBPE
CTDSP1,0.5253806592446636,0.7114427860696517,CEBPE
CDK5R2,0.6950633507437213,0.004975124378109453,CEBPE
CRYBA2,0.7498895468229411,0.004975124378109453,CEBPE
RESP18,0.647316380137649,0.29850746268656714,CEBPE
DES,0.8613378915986953,0.004975124378109453,CEBPE
ASIC4,0.6933015321555644,0.21393034825870647,CEBPE
TMEM198,0.7923415869743966,0.004975124378109453,CEBPE
INHA,0.7888282281977748,0.004975124378109453,CEBPE
AC009955.8,0.6685766734087659,0.01990049751243781,CEBPE
SLC4A3,0.5960305058219858,0.14925373134328357,CEBPE
CUL3,0.6897643948288296,0.32338308457711445,CEBPE
AC009410.1,0.8135645005242509,0.2736318407960199,CEBPE
FBXO36,0.6721904070133643,0.5174129353233831,CEBPE
ALPP,0.7640382502507045,0.004975124378109453,CEBPE
EFHD1,0.6667800538631218,0.0945273631840796,CEBPE
USP40,0.7622655587017898,0.004975124378109453,CEBPE
AC096574.5,0.6826969946121177,0.572139303482587,CEBPE
ANO7,0.8471582427335435,0.004975124378109453,CEBPE
GAL3ST2,0.6986139552973549,0.03482587064676617,CEBPE
CHL1-AS1,0.6596916403615293,0.07462686567164178,CEBPE
FANCD2OS,0.6791460779612882,0.01990049751243781,CEBPE
RP11-438J1.1,0.7233585739504066,0.009950248756218905,CEBPE
AC093495.4,0.8117939973246231,0.004975124378109453,CEBPE
FGD5-AS1,0.7003825076561937,0.3880597014925373,CEBPE
RP11-320G10.1,0.7056815173654426,0.13432835820895522,CEBPE
RP11-222K16.2,0.5854191581376967,0.1691542288557214,CEBPE
SUSD5,0.6773751835402312,0.3781094527363184,CEBPE
DLEC1,0.5482795137366356,0.04975124378109453,CEBPE
ACAA1,0.7021376957375839,0.024875621890547265,CEBPE
MYD88,0.7835286518886494,0.004975124378109453,CEBPE
TTC21A,0.8294967780118145,0.004975124378109453,CEBPE
CCDC13-AS1,0.6685977263370393,0.5522388059701493,CEBPE
RP11-70C1.1,0.6738472843731396,0.004975124378109453,CEBPE
RP11-272D20.2,0.5856034651504577,0.07462686567164178,CEBPE
EXOSC7,0.6827015763327678,0.009950248756218905,CEBPE
CCRL2,0.751670618637832,0.20398009950248755,CEBPE
TDGF1,0.7392843677709289,0.004975124378109453,CEBPE
CCDC12,0.6932925087865843,0.004975124378109453,CEBPE
KLHL18,0.6986005231258632,0.27860696517412936,CEBPE
ZNF589,0.6986341030703711,0.004975124378109453,CEBPE
SHISA5,0.6384759756103786,0.47761194029850745,CEBPE
TMEM89,0.8436451476076808,0.004975124378109453,CEBPE
IP6K2,0.5306087510061116,0.6666666666666666,CEBPE
QRICH1,0.840093160754331,0.004975124378109453,CEBPE
RP11-3B7.1,0.6933082996052303,0.5920398009950248,CEBPE
GNAT1,0.6597675002302983,0.004975124378109453,CEBPE
HYAL2,0.6455429636127757,0.21890547263681592,CEBPE
TMEM115,0.5536077706369106,0.03482587064676617,CEBPE
GRM2,0.6331604051737032,0.0945273631840796,CEBPE
ABHD14A,0.68452495093042,0.39303482587064675,CEBPE
POC1A,0.5818820441704836,0.208955223880597,CEBPE
GLYCTK,0.8419286151295318,0.004975124378109453,CEBPE
DNAH1,0.5588824333421527,0.08955223880597014,CEBPE
TMEM110,0.7021443780220183,0.01990049751243781,CEBPE
RP11-894J14.5,0.7003691094032443,0.5472636815920398,CEBPE
RP11-64C1.1,0.7021376957375839,0.13930348258706468,CEBPE
WNT5A-AS1,0.7039062821284551,0.582089552238806,CEBPE
RP11-475O23.2,0.6968319369058766,0.014925373134328358,CEBPE
PTPRG,0.7428215125698199,0.004975124378109453,CEBPE
UBA3,0.7552015230816125,0.004975124378109453,CEBPE
ARL6IP5,0.7870338735907646,0.004975124378109453,CEBPE
FRMD4B,0.5978095293440839,0.17412935323383086,CEBPE
EIF4E3,0.7905650983403059,0.004975124378109453,CEBPE
RP11-6B4.1,0.734080923215194,0.009950248756218905,CEBPE
RP11-451B8.1,0.6933082996052301,0.029850746268656716,CEBPE
CLDND1,0.5394338603549754,0.2835820895522388,CEBPE
CPOX,0.7640362032709869,0.004975124378109453,CEBPE
RP11-779P15.1,0.6810317935968724,0.4626865671641791,CEBPE
COL8A1,0.7127667689102349,0.4079601990049751,CEBPE
FILIP1L,0.6986072392438923,0.47761194029850745,CEBPE
ALCAM,0.822430205125343,0.08955223880597014,CEBPE
DPPA4,0.792347508522206,0.004975124378109453,CEBPE
RP11-119D18.1,0.6810249041536807,0.06965174129353234,CEBPE
PVRL3,0.7605072435923742,0.004975124378109453,CEBPE
CD200R1,0.7056992471658922,0.17412935323383086,CEBPE
RP11-553L6.5,0.7958728430048413,0.3333333333333333,CEBPE
RP11-197K3.1,0.859611204533933,0.004975124378109453,CEBPE
RP11-384F7.1,0.6119475428130763,0.6019900497512438,CEBPE
IGSF11,0.7569700964726771,0.004975124378109453,CEBPE
IQCB1,0.6844518350103551,0.0845771144278607,CEBPE
DTX3L,0.7817721479711591,0.004975124378109453,CEBPE
PARP14,0.6897825337545844,0.3880597014925373,CEBPE
RP11-67L2.2,0.578334114237652,0.4129353233830846,CEBPE
ALDH1L1-AS1,0.6102174280230137,0.11940298507462686,CEBPE
RP11-71E19.1,0.7499229156606311,0.004975124378109453,CEBPE
ZXDC,0.6614649540875585,0.014925373134328358,CEBPE
ACAD9,0.7552077358429463,0.004975124378109453,CEBPE
ISY1,0.6862204208160669,0.23383084577114427,CEBPE
H1FX-AS1,0.7109960262244531,0.38308457711442784,CEBPE
ACKR4,0.8224530245257076,0.004975124378109453,CEBPE
NPHP3-AS1,0.7021911522325124,0.13432835820895522,CEBPE
RP11-91K8.5,0.6667636347820781,0.004975124378109453,CEBPE
EPHB1,0.7835086910534582,0.004975124378109453,CEBPE
PCCB,0.7021532876356726,0.7412935323383084,CEBPE
NCK1,0.7021376957375841,0.004975124378109453,CEBPE
RP11-461M2.2,0.7499124880583541,0.004975124378109453,CEBPE
PISRT1,0.7251422638431873,0.029850746268656716,CEBPE
RBP1,0.6862272580983808,0.05970149253731343,CEBPE
PXYLP1,0.8259445395384912,0.004975124378109453,CEBPE
TRPC1,0.6826901219734882,0.6517412935323383,CEBPE
RP11-80H8.3,0.7145243681420917,0.024875621890547265,CEBPE
RP11-454C18.1,0.6773821101035993,0.43283582089552236,CEBPE
RP11-292E2.1,0.7304479312634591,0.004975124378109453,CEBPE
KCNAB1-AS2,0.6915261785946792,0.3880597014925373,CEBPE
LINC00886,0.6649973952824152,0.13930348258706468,CEBPE
MLF1,0.7375157955526633,0.8258706467661692,CEBPE
RP11-774I5.1,0.7976414318744507,0.004975124378109453,CEBPE
RP11-298O21.7,0.7198300802254597,0.7014925373134329,CEBPE
RP11-368I23.3,0.7605319209641637,0.0845771144278607,CEBPE
MYNN,0.6420057951413038,0.01990049751243781,CEBPE
SEC62-AS1,0.54479982864142,0.26865671641791045,CEBPE
GPR160,0.7021443780220186,0.5522388059701493,CEBPE
PHC3,0.7056748685754307,0.004975124378109453,CEBPE
RP11-408H1.3,0.6721345644905147,0.21393034825870647,CEBPE
RP11-324C10.1,0.726897910166294,0.6616915422885572,CEBPE
DNAJC19,0.5535936452150617,0.0845771144278607,CEBPE
RP11-329B9.5,0.6773821101035993,0.6567164179104478,CEBPE
TMEM41A,0.7605236952625372,0.004975124378109453,CEBPE
RP11-573D15.8,0.7269108194466565,0.004975124378109453,CEBPE
RPL39L,0.6792980487823677,0.24875621890547264,CEBPE
RP11-132N15.2,0.7959082139958495,0.004975124378109453,CEBPE
TMEM207,0.771124772116965,0.4228855721393035,CEBPE
CCDC50,0.7216441644436602,0.004975124378109453,CEBPE
FGF12-AS2,0.5323596241317167,0.8557213930348259,CEBPE
GP5,0.7834987104451633,0.27860696517412936,CEBPE
