candidate_id	source_path	read_status	n_cells	n_features	obs_columns	var_columns	layers	matrix_source_audited	sample_min	sample_max	sample_integer_fraction	uns_keys
gehring2019_neural_stem_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/gehring2019_neural_stem_drug/GehringPachter2019.h5ad	readable_backed	20382.0	13256.0	"[""batch"", ""disease"", ""cancer"", ""tissue_type"", ""celltype"", ""perturbation"", ""perturbation_2"", ""perturbation_3"", ""perturbation_4"", ""dose_unit"", ""dose_unit_2"", ""dose_unit_3"", ""dose_unit_4"", ""organism"", ""perturbation_type"", ""dose_value"", ""dose_value_2"", ""dose_value_3"", ""dose_value_4"", ""nperts"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	3.7402844429016113	0.8955078125	[]
lara2023_bone_marrow_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/lara2023_bone_marrow_crispr/LaraAstiasoHuntly2023_exvivo.h5ad	readable_backed	146793.0	32287.0	"[""time"", ""perturbation"", ""guide_id"", ""sample"", ""cellcycle_phase"", ""Mixscape_classification"", ""celltype"", ""organism"", ""disease"", ""cancer"", ""perturbation_type"", ""tissue_type"", ""tissue"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	94.0	1.0	[]
mcfarland2020_cancer_mixseq_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/mcfarland2020_cancer_mixseq_drug/McFarlandTsherniak2020.h5ad	readable_backed	182875.0	32738.0	"[""DepMap_ID"", ""cancer"", ""cell_det_rate"", ""cell_line"", ""cell_quality"", ""channel"", ""disease"", ""dose_unit"", ""dose_value"", ""doublet_CL1"", ""doublet_CL2"", ""doublet_GMM_prob"", ""doublet_dev_imp"", ""doublet_z_margin"", ""hash_assignment"", ""hash_tag"", ""num_SNPs"", ""organism"", ""percent.mito"", ""perturbation"", ""perturbation_type"", ""sex"", ""singlet_ID"", ""singlet_dev"", ""singlet_dev_z"", ""singlet_margin"", ""singlet_z_margin"", ""time"", ""tissue_type"", ""tot_reads"", ""nperts"", ""ngenes"", ""ncounts"", ""percent_mito"", ""percent_ribo"", ""chembl-ID""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	54.0	1.0	[]
weinreb2020_hematopoietic_cytokine	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/weinreb2020_hematopoietic_cytokine/WeinrebKlein2020.h5ad	readable_backed	65075.0	25289.0	"[""library_names"", ""age"", ""celltype"", ""perturbation"", ""cancer"", ""organism"", ""disease"", ""tissue_type"", ""perturbation_type"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	9.7285737991333	0.9892578125	[]
schiebinger2019_mesc_cytokine	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/schiebinger2019_mesc_cytokine/SchiebingerLander2019_GSE115943.h5ad	readable_backed	259155.0	27998.0	"[""age"", ""replicate"", ""perturbation"", ""GSM"", ""cancer"", ""organism"", ""disease"", ""tissue_type"", ""perturbation_type"", ""celltype"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""ncounts"", ""ncells""]"	[]	X	0.0	211.0	1.0	[]
chang2021_pc9_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/chang2021_pc9_drug/ChangYe2021.h5ad	readable_backed	42277.0	45066.0	"[""sample"", ""disease"", ""cancer"", ""sex"", ""perturbation"", ""dose_value"", ""dose_unit"", ""perturbation_type"", ""organism"", ""nperts"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""chembl-ID""]"	"[""ensembl_gene_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	70.0	1.0	[]
sunshine2023_calu3_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/sunshine2023_calu3_crispri/SunshineHein2023.h5ad	readable_backed	90380.0	33538.0	"[""guide_id"", ""nperts"", ""read_count"", ""UMI_count"", ""coverage"", ""gem_group"", ""good_coverage"", ""number_of_cells"", ""matched_library_element"", ""match_type"", ""perturbation"", ""perturbation_type"", ""disease"", ""cancer"", ""tissue_type"", ""cell_line"", ""celltype"", ""organism"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo""]"	"[""ensembl_id"", ""ncounts"", ""ncells""]"	[]	X	0.0	64.0	1.0	[]
tian2019_day7_neuron_crispri	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/tian2019_day7_neuron_crispri/TianKampmann2019_day7neuron.h5ad	missing_or_unverified										
dixit2016_k562_tf_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/dixit2016_k562_tf_crispr/DixitRegev2016_K562_TFs_13_days.h5ad	readable_backed	19268.0	21713.0	"[""perturbation"", ""target"", ""moi"", ""time"", ""cell_line"", ""celltype"", ""perturbation_type"", ""cancer"", ""disease"", ""tissue_type"", ""organism"", ""guide_id"", ""ncounts"", ""ngenes"", ""percent_mito"", ""percent_ribo"", ""nperts""]"	"[""gene_id"", ""mt"", ""ribo"", ""ncounts"", ""ncells""]"	[]	X	0.0	29.0	1.0	[]
papalexi2021_thp1_crispr	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/papalexi2021_thp1_crispr/PapalexiSatija2021_eccite_RNA.h5ad	missing_or_unverified										
aissa2021_pc9_drug	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/aissa2021_pc9_drug/AissaBenevolenskaya2021.h5ad	missing_or_unverified										
lotfollahi2023_perturbation_atlas	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/lotfollahi2023_perturbation_atlas/LotfollahiTheis2023.h5ad	missing_or_unverified										
xie2017_stem_cell_perturbation	/Volumes/MOVESPEED/pgaa_cross_platform/v2/sources/xie2017_stem_cell_perturbation/XieHon2017.h5ad	missing_or_unverified										
