target_gene	split_seed	analysis_role	method	status	n_discovery_batches	n_validation_batches	n_discovery_perturbed	n_discovery_control	n_validation_perturbed	n_validation_control	n_evaluated_genes	top_k	top_k_overlap	top_k_overlap_fraction	top_k_jaccard	hypergeom_p	all_gene_spearman_rho	median_validation_percentile_of_discovery_top_k	failure_reason	hypergeom_q_bh
RPUSD3	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	91	499	73	501	8562	100	11	0.11	0.0582010582010582	1.8913524923945478e-08	0.026281323424312192	0.3249240831581406		3.0261639878312766e-08
CWC15	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	96	499	88	501	8562	100	94	0.94	0.8867924528301887	5.592310662497099e-206	0.7354437893598833	0.0058981546367671105		4.473848529997679e-205
CWC15	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	96	499	88	501	8562	100	1	0.01	0.005025125628140704	0.6932466887980352	0.37318061597266544	0.2809507124503621		0.6932466887980352
CWC15	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	96	499	88	501	8562	100	91	0.91	0.8348623853211009	1.0702751594044857e-193	0.5926118974586407	0.006131744919411352		8.562201275235885e-193
CWC15	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	96	499	88	501	8562	100	32	0.32	0.19047619047619047	4.8272463622862094e-39	0.3956783902394887	0.02330063069376314		1.2872656966096558e-38
EIF3D	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	103	499	83	501	8562	100	87	0.87	0.7699115044247787	1.1896141127724269e-178	0.7426736110713174	0.006014949778089232		4.7584564510897077e-178
EIF3D	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	103	499	83	501	8562	100	6	0.06	0.030927835051546393	0.001073894406566297	0.31277649819580444	0.2717822938565756		0.008591155252530376
EIF3D	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	103	499	83	501	8562	100	84	0.84	0.7241379310344828	4.040936709218948e-168	0.6235796927768132	0.006482130343377716		1.6163746836875791e-167
EIF3D	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	103	499	83	501	8562	100	39	0.39	0.2422360248447205	5.017541321117312e-52	0.42820604007361107	0.016876897921046484		2.007016528446925e-51
UBA2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	84	499	88	501	8562	100	83	0.83	0.7094017094017094	9.920570282577795e-165	0.6582356580891702	0.006131744919411352		1.984114056515559e-164
UBA2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	84	499	88	501	8562	100	4	0.04	0.02040816326530612	0.0292933467117599	0.2904948945171437	0.3505606166783462		0.07811559123135974
UBA2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	84	499	88	501	8562	100	75	0.75	0.6	2.1403196538188044e-139	0.3512738656532427	0.006306937631394534		4.892159208728696e-139
UBA2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	84	499	88	501	8562	100	33	0.33	0.19760479041916168	8.049282732015245e-41	0.0766948231727204	0.05156505489371642		2.5757704742448783e-40
USP5	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	98	499	101	501	8562	100	84	0.84	0.7241379310344828	4.040936709218948e-168	0.6402241383238997	0.006482130343377716		9.236426763929023e-168
USP5	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	98	499	101	501	8562	100	3	0.03	0.015228426395939087	0.11154004701974338	0.2709225350502562	0.32504087829946277		0.19829341692398822
USP5	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	98	499	101	501	8562	100	72	0.72	0.5625	1.3478567013340595e-130	0.3086395606059256	0.006598925484699836		2.156570722134495e-130
USP5	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	98	499	101	501	8562	100	4	0.04	0.02040816326530612	0.0292933467117599	0.016548553419915825	0.4543330997430507		0.036053349799089106
ABCF1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	160	499	169	501	8562	100	78	0.78	0.639344262295082	1.4854458078647013e-148	0.6409944387981964	0.006832515767344078		1.697652351845373e-148
ABCF1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	160	499	169	501	8562	100	4	0.04	0.02040816326530612	0.0292933467117599	0.2646698615235152	0.27359261854706846		0.07811559123135974
ABCF1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	160	499	169	501	8562	100	56	0.56	0.3888888888888889	9.894874994341194e-89	0.36246046702817625	0.009927587012380286		1.1308428564961364e-88
ABCF1	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	160	499	169	501	8562	100	10	0.1	0.05263157894736842	2.1715978425602694e-07	0.04290711456890704	0.22926886241532352		3.1586877709967555e-07
BCAS2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	121	499	106	501	8562	100	81	0.81	0.680672268907563	4.116932873521691e-158	0.7079531551984224	0.006248540060733474		6.587092597634706e-158
BCAS2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	121	499	106	501	8562	100	5	0.05	0.02564102564102564	0.006168221108191422	0.33762528291768573	0.1908432609203457		0.024672884432765687
BCAS2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	121	499	106	501	8562	100	72	0.72	0.5625	1.3478567013340595e-130	0.5368064254743066	0.006365335202055594		2.156570722134495e-130
BCAS2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	121	499	106	501	8562	100	47	0.47	0.30718954248366015	2.2297709088052343e-68	0.3132992884149321	0.013373043681382854		1.1892111513627916e-67
DNTTIP2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	136	499	128	501	8562	100	96	0.96	0.9230769230769231	7.715142593435242e-215	0.7348261736765443	0.0058981546367671105		1.2344228149496387e-213
DNTTIP2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	136	499	128	501	8562	100	5	0.05	0.02564102564102564	0.006168221108191422	0.38622339133146777	0.14710348049521138		0.024672884432765687
DNTTIP2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	136	499	128	501	8562	100	95	0.95	0.9047619047619048	2.5058078502756504e-210	0.6172835363937536	0.0058981546367671105		4.0092925604410406e-209
DNTTIP2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	136	499	128	501	8562	100	65	0.65	0.48148148148148145	2.640482643603975e-111	0.44275784292629267	0.007241298761971502		4.22477222976636e-110
LSM2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_w	complete	24	24	193	499	164	501	8562	100	89	0.89	0.8018018018018018	5.175927565060803e-186	0.7772968127353289	0.0058981546367671105		2.7604947013657615e-185
LSM2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	pgaa_h	complete	24	24	193	499	164	501	8562	100	9	0.09	0.04712041884816754	2.2214076808001462e-06	0.433201911427559	0.11171455267460874		3.554252289280234e-05
LSM2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	absolute_mean_shift	complete	24	24	193	499	164	501	8562	100	88	0.88	0.7857142857142857	2.703571582788662e-182	0.6705796169731245	0.006014949778089232		1.441904844153953e-181
LSM2	pgaa-response-replication-v1	within_experiment_held_out_batch_replication	welch_abs_t	complete	24	24	193	499	164	501	8562	100	58	0.58	0.4084507042253521	1.5106584145892026e-93	0.5307344220034238	0.00823405746320953		1.208526731671362e-92
