source_file	size_bytes	source_md5	source_url	already_in_v2_or_v3_queue
GasperiniShendure2019_highMOI.h5ad	418337592	04e1af7562c1d0d2dd2f9d1cf01e3560	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_highMOI.h5ad/content	True
GasperiniShendure2019_lowMOI.h5ad	322716827	f26552257c5ce060ce523e5ffcb301a5	https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_lowMOI.h5ad/content	False
GehringPachter2019.h5ad	73274146	8348716d9d00c9526be4f51748ea7b98	https://zenodo.org/api/records/13350497/files/GehringPachter2019.h5ad/content	True
JoungZhang2023_atlas.h5ad	5804454475	cb8b36e71d9a69a0d52ddfa51b4fa93e	https://zenodo.org/api/records/13350497/files/JoungZhang2023_atlas.h5ad/content	False
JoungZhang2023_combinatorial.h5ad	834073300	e3d5f50d228b4d90652b6146e97c605c	https://zenodo.org/api/records/13350497/files/JoungZhang2023_combinatorial.h5ad/content	True
LaraAstiasoHuntly2023_exvivo.h5ad	1080740763	f5767ed229c57758393c78d1d2b646c8	https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_exvivo.h5ad/content	True
LaraAstiasoHuntly2023_invivo.h5ad	760312556	eb199e69f22f0a60646060b5ddba583e	https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_invivo.h5ad/content	False
LaraAstiasoHuntly2023_leukemia.h5ad	1176002572	bb89e43e3c474b8d8d3bdd46ad54ec59	https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_leukemia.h5ad/content	False
LiangWang2023.h5ad	364166137	a5e91f79c0c8350ec1a8c331a5a3738b	https://zenodo.org/api/records/13350497/files/LiangWang2023.h5ad/content	True
LotfollahiTheis2023.h5ad	235963662	2bde6413480830b290bacd2071a98bcb	https://zenodo.org/api/records/13350497/files/LotfollahiTheis2023.h5ad/content	True
McFarlandTsherniak2020.h5ad	1459410830	03204a96b7b5dd96fc3cf33418222cd9	https://zenodo.org/api/records/13350497/files/McFarlandTsherniak2020.h5ad/content	True
NadigOConner2024_hepg2.h5ad	850590740	af2be47f7477cf32fa6e4bec1c6a4868	https://zenodo.org/api/records/13350497/files/NadigOConner2024_hepg2.h5ad/content	False
NadigOConner2024_jurkat.h5ad	1293665804	d8b05d00bfbd686d37ffdd4293bc6c8c	https://zenodo.org/api/records/13350497/files/NadigOConner2024_jurkat.h5ad/content	False
NormanWeissman2019_filtered.h5ad	698680199	c870e6967d91c017d9da827bab183cd6	https://zenodo.org/api/records/13350497/files/NormanWeissman2019_filtered.h5ad/content	False
PapalexiSatija2021_eccite_RNA.h5ad	147215278	d9e8bfe20b0e7b0919be042e8fcf6d03	https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_RNA.h5ad/content	True
PapalexiSatija2021_eccite_arrayed_RNA.h5ad	52339395	843820d48b024348d6132cd53be0da91	https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_arrayed_RNA.h5ad/content	False
PapalexiSatija2021_eccite_arrayed_protein.h5ad	550922	5e4346855f70c7ae90da9eb75ea12414	https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_arrayed_protein.h5ad/content	False
PapalexiSatija2021_eccite_protein.h5ad	1191551	07290242b0e835c9474bb816de9cda45	https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_protein.h5ad/content	False
ReplogleWeissman2022_K562_essential.h5ad	1546729675	d8cba17576d1a8afc0f7d71b79cad0f7	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_K562_essential.h5ad/content	False
ReplogleWeissman2022_K562_gwps.h5ad	8805466154	13db594f8f1d2ccb88fec44a13e414dc	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_K562_gwps.h5ad/content	False
ReplogleWeissman2022_rpe1.h5ad	1236886900	cc7f1ec50aeb3a3e1b4a6cfa713d80fa	https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_rpe1.h5ad/content	False
SantinhaPlatt2023.h5ad	939335004	fd5a384a2812dd191434021cc1fdf9d0	https://zenodo.org/api/records/13350497/files/SantinhaPlatt2023.h5ad/content	True
SchiebingerLander2019_GSE106340.h5ad	378858726	8d988c345930195ea6e64a05c762abb3	https://zenodo.org/api/records/13350497/files/SchiebingerLander2019_GSE106340.h5ad/content	False
SchiebingerLander2019_GSE115943.h5ad	1640956517	ee695cd9e437cd27681b74b867adc994	https://zenodo.org/api/records/13350497/files/SchiebingerLander2019_GSE115943.h5ad/content	True
SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad	21815981	f3276b2ee09bc132fa7f471090b9094e	https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad/content	True
SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad	21015792	916e6b511e164f840c7835291f2bbd51	https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad/content	False
ShifrutMarson2018.h5ad	871481676	813253590e31611560045333b7ffb637	https://zenodo.org/api/records/13350497/files/ShifrutMarson2018.h5ad/content	True
SrivatsanTrapnell2020_sciplex2.h5ad	145178504	12a48293a166a859f994551653a2ad8c	https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex2.h5ad/content	False
SrivatsanTrapnell2020_sciplex3.h5ad	2526631614	c9e70629505d98c7ca1a837f62b14e89	https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex3.h5ad/content	False
SrivatsanTrapnell2020_sciplex4.h5ad	253335945	9335b581baba2df02ecf92eed4b56ad7	https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex4.h5ad/content	False
SunshineHein2023.h5ad	743672579	739f42ccb24815c4ac1d8ca6d4aa85d8	https://zenodo.org/api/records/13350497/files/SunshineHein2023.h5ad/content	True
TianKampmann2019_day7neuron.h5ad	268921535	74074e99e8e7c5a6297b6a684b72d754	https://zenodo.org/api/records/13350497/files/TianKampmann2019_day7neuron.h5ad/content	True
TianKampmann2019_iPSC.h5ad	350848489	8279484264b513fd0419dacdc639ecef	https://zenodo.org/api/records/13350497/files/TianKampmann2019_iPSC.h5ad/content	False
TianKampmann2021_CRISPRa.h5ad	154788473	67a9b324ce46b74a8ca09370de45ded6	https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRa.h5ad/content	True
TianKampmann2021_CRISPRi.h5ad	289389479	70d260cf5587fc09d759b9f3e32785c6	https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRi.h5ad/content	False
WeinrebKlein2020.h5ad	228524613	5fbde4a188969399b18b5cd675807be4	https://zenodo.org/api/records/13350497/files/WeinrebKlein2020.h5ad/content	True
WesselsSatija2023.h5ad	219393529	6897bfdcda928a678208fecf4eeb282e	https://zenodo.org/api/records/13350497/files/WesselsSatija2023.h5ad/content	True
XieHon2017.h5ad	117356359	e01981371cf726f3c7281aaf97500a90	https://zenodo.org/api/records/13350497/files/XieHon2017.h5ad/content	True
XuCao2023.h5ad	336637209	3efb25a2927c5c228f04f783f18004d8	https://zenodo.org/api/records/13350497/files/XuCao2023.h5ad/content	True
ZhaoSims2021.h5ad	586888140	2034fe859694fb5458a35cc37a8753c5	https://zenodo.org/api/records/13350497/files/ZhaoSims2021.h5ad/content	True
