target_gene	n_target_cells	n_target_batches	target_gene_measured	excluded_current_target	eligible	selection_stratum	selection_order_sha256	selected	n_control_cells	n_control_batches	allowed_claim_role
ANAPC1	124	43	True	False	True	Q1	f7210ed3973135fc8abec262f30857b6812bd9ea39e5da20e7ab4c725169d97f	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC10	29	23	True	False	False	ineligible	f11d38310fb4b390140e560b735070962a5daadff1010c41072ecd1246287f3e	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC11	77	38	True	False	False	ineligible	01809e7335899df85cb08556f9906c97891073ba3a65a5e7dfd732e002b6a6f7	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC13	112	43	True	False	True	Q1	f3b6b186cb889e1a158c016944417adb8e94ed9f6812952c4ae8130cf31133ab	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC15	424	48	True	False	True	Q4	6be040dae6d0aa491aa219929311e1efac1a1f72de65fdff21b3c2b273f448fb	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC2	237	48	False	False	False	ineligible	6c6ae682e62de7df4b78c2200ff0e01f31e6ffe24358e4d17649e539c5f3d895	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC4	63	31	True	False	False	ineligible	5f7a97bf4d66077a6cf98fd8f902a42a170ee4f45091dcc6167e7521ba2821d1	False	10691	48	cross_target_generality_only_not_same_target_replication
ANAPC5	40	30	True	False	False	ineligible	166c52856cbd63b60222ff057b8fc2df6d465870f0e1e3eb70d89338bea436bc	False	10691	48	cross_target_generality_only_not_same_target_replication
ANKLE2	126	45	True	False	True	Q1	37a5c82a79505978d88cfc0d59bbd9a465dbfdd848e6ed378fbc9c33ba9a4802	False	10691	48	cross_target_generality_only_not_same_target_replication
ANKRD11	260	48	True	False	True	Q4	97de706ef0a76438b18ebd72d3a9db106f437f6a42e5e18c4ee8c431c69d35d5	False	10691	48	cross_target_generality_only_not_same_target_replication
ANKRD49	144	43	True	False	True	Q2	3ee81349da1911a7ea654c9831b445e2e7418e09dcaca4ca1347056ab31bd302	False	10691	48	cross_target_generality_only_not_same_target_replication
ANKS6	95	41	True	False	False	ineligible	13eca93b95da0f00685377c3d27bfaa91a0363f2970d9c8eaa1d80ea373020fc	False	10691	48	cross_target_generality_only_not_same_target_replication
ANLN	96	41	True	False	False	ineligible	fdc84c1f1d6b142f7e19f9f765d02acf1879dd192fe18f022902843113319469	False	10691	48	cross_target_generality_only_not_same_target_replication
AP2M1	215	48	True	False	True	Q3	4e5ebb96ad3ff85d7b1d4300f64c250546293b8b090821f4da53a49ae1911e6c	False	10691	48	cross_target_generality_only_not_same_target_replication
AP2S1	123	45	True	False	True	Q1	25cdc16b970013f939b5e4eb99e899fa4cfde7459d0fe0b9c4ce32e88eb6971f	False	10691	48	cross_target_generality_only_not_same_target_replication
AQP7	108	45	False	False	False	ineligible	d568ed2d24bf6d38df637cb82caa7f7789f540870958343b02685a8121af86d8	False	10691	48	cross_target_generality_only_not_same_target_replication
AQR	90	39	True	False	False	ineligible	78ab7553d040b6fb4b8e1deb55db90c480a8b5dd6a0b870ce913ed1a1cc5750a	False	10691	48	cross_target_generality_only_not_same_target_replication
ARCN1	333	48	True	False	True	Q4	2fbd5da85a225b4a930b81b530c0e51cc42590650ef11cbb693bb451677774da	False	10691	48	cross_target_generality_only_not_same_target_replication
ARF4	89	39	True	False	False	ineligible	016245b0c7193673086596ee4f954cccc273c278bb9de8787dc1be8980c419fd	False	10691	48	cross_target_generality_only_not_same_target_replication
ARFRP1	138	45	True	False	True	Q2	67b971e7ddfe7d132d40742d19b46bea61ac9d966876fecfca48ff7380ed1093	False	10691	48	cross_target_generality_only_not_same_target_replication
ARGFX	84	39	False	False	False	ineligible	f1f8733e2d8d5294eb4f8895286efd1e5ed03012d40d071270bedff55bb79865	False	10691	48	cross_target_generality_only_not_same_target_replication
ARGLU1	498	48	True	False	True	Q4	7b146833d58f5c9db7c1f52f79a54aa8dfecb9c1f6fd4b34c37a52bacb0cf1b8	False	10691	48	cross_target_generality_only_not_same_target_replication
ARHGAP11B	212	48	False	False	False	ineligible	5e94a45238fee81c9e0c2b45106d8b416a9a91ad74cf411a3d2012d2ce4d7758	False	10691	48	cross_target_generality_only_not_same_target_replication
ARID3A	31	23	True	False	False	ineligible	58afe1b5fe2781416d0b739427ca624a0093ba4b1df8928ff2b97bab9dfd6dea	False	10691	48	cross_target_generality_only_not_same_target_replication
ARIH1	59	32	True	False	False	ineligible	54311bf7dad5bae4f8945116332ca0752c748ea0ad0113e6bbc5abf980fb8494	False	10691	48	cross_target_generality_only_not_same_target_replication
ARL2	74	38	True	False	False	ineligible	d7222b62493682a187dca79ad2d646ff97743284a8aa68e176514b8e11d97ba3	False	10691	48	cross_target_generality_only_not_same_target_replication
ARL4D	120	43	True	False	True	Q1	cf71859adfddd11064dcce6762faba0f4a50bcb2d92a7b3f725524b15637c508	False	10691	48	cross_target_generality_only_not_same_target_replication
ARMC6	86	36	True	False	False	ineligible	d8bf9945ebc9b1eeb8c4403e9ae064fd52a21325fd79629bb256e7816b8a2b1a	False	10691	48	cross_target_generality_only_not_same_target_replication
ARMC7	110	42	False	False	False	ineligible	58fd478902d2e5823d35935b0a532c64b036734cf644a1c499e5ff1e71641736	False	10691	48	cross_target_generality_only_not_same_target_replication
ARPC2	227	48	True	False	True	Q4	48ea87cfb13bcaf01206ba3ff1525bcbd896bbbb47b6f7fd943294c4f24829d6	False	10691	48	cross_target_generality_only_not_same_target_replication
ARPC3	141	43	True	False	True	Q2	080d282d1835b48e9e526d2f709ea7caa9473298a9a09c4fca9fb76757b329c6	False	10691	48	cross_target_generality_only_not_same_target_replication
ARPC4	220	47	True	False	True	Q3	42a585285556af15d2fe7a0524d91b04cb61a3c090e721c297cdee2b86885dfb	False	10691	48	cross_target_generality_only_not_same_target_replication
ASF1B	284	48	True	False	True	Q4	c0d0411d2331490d74bd68e698519b1386912c63313df223b14c842bd3b6e638	False	10691	48	cross_target_generality_only_not_same_target_replication
ATF4	72	34	True	False	False	ineligible	8d61828de5a20b9bfa370c220b203c6abfd4fd1c31082b0b7c99edf395740ca9	False	10691	48	cross_target_generality_only_not_same_target_replication
ATF5	141	46	True	False	True	Q2	df945c230a07f70ceb0457ad7df5b8ccd89db7aac21f7c6018f870965684065e	False	10691	48	cross_target_generality_only_not_same_target_replication
ATL2	120	47	True	False	True	Q1	dca1a46aa396c5888d07442bec29b5ee7d3596dbb08e652f5a2e93111a26fc87	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP1A1	84	40	True	False	False	ineligible	4c7a1743066a03b8e0b6f8c81d144cfd8b8971a86b4619d604a13a1f56cce8cb	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP2A2	158	46	True	False	True	Q2	37eccca207b6c7b71ddec1e27118c97d3946e9056fef06f6b96a1c12e60b1033	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6AP1	119	42	True	False	True	Q1	77dfb86032a54c9ef996116bab14218f5b588da521a996f03ccc2d745fc58f8e	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6AP2	175	45	True	False	True	Q3	c83813cfa716732902fc4da3b0e1e8e1df5943589afb4c15f97d10a8ad3a2d1f	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V0B	147	45	True	False	True	Q2	8560c81f068e69a8c88e3dd4f1cb90a9c9449519d9c3f1e4ad737b77620c893b	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V0C	53	31	True	False	False	ineligible	c269dffdfc1be6e9dab57ba17edd857ba82b4662b4f906b07843e3275f1ec1b7	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V0D1	101	40	True	False	True	Q1	aa98d0935eed77cf0c3b1b5473fe22ba0c31695990182a24311b519ed81cb5ab	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1A	96	42	True	False	False	ineligible	cc780634228e57f39221fd1a2173e0dca84924e4d1c7b36fc5641d52f8592d33	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1B2	442	48	True	False	True	Q4	83c8ee297686d451b16be90ae7e8365c3a152333bbdbdf95e867bce2fa163468	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1C1	59	33	True	False	False	ineligible	919f8c9241f5de69e0ad56ae7976b3b0b1b11f0bc22b9dc7f32738a102c07519	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1D	139	44	True	False	True	Q2	41151d91c68c119532f788184f02da41ae06d77c9ab722d816c534189ba3969c	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1E1	188	47	True	False	True	Q3	9d94e4b8e5c35c423e67b83fe696b390ba47788f598bdaed110312c17bef1827	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1F	72	39	True	False	False	ineligible	82b980c2fdfdb9642139f1b9adecd16f198575dbbe7be625443faf13eedd5870	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1G1	67	35	True	False	False	ineligible	466b115f2fb927575eabc7e142f10b5e10b65f901a36e1776e066e0ebcd0884a	False	10691	48	cross_target_generality_only_not_same_target_replication
ATP6V1H	84	40	True	False	False	ineligible	c9e908c232b2dfafaf1b51c85b7108a1c5ab860d78156463549068239a2a59af	False	10691	48	cross_target_generality_only_not_same_target_replication
ATR	141	45	True	False	True	Q2	2328124995806f9f312a34dc8b1d693b96bcd2d8cbd76a3fe39ace1969a9f089	False	10691	48	cross_target_generality_only_not_same_target_replication
ATRIP	184	48	True	False	True	Q3	1788dfff4ee7c75bb25318124b6b14d865dbeab8533288c1e2e0205f2aed1637	False	10691	48	cross_target_generality_only_not_same_target_replication
AURKA	58	36	True	False	False	ineligible	6400d3df85df8fd0820ae65765f4b29f82723ce14c3ba4769ff22ff62287bb04	False	10691	48	cross_target_generality_only_not_same_target_replication
AURKAIP1	76	37	True	False	False	ineligible	c325cabb78831d78ac669871ad1cfd1bd8528e1f074d7769f5eb1f8842f1506e	False	10691	48	cross_target_generality_only_not_same_target_replication
AURKB	33	24	True	False	False	ineligible	ba04ed3c60b907096e1f77a0804f835720b27c2d9e71007ed35152078cea9934	False	10691	48	cross_target_generality_only_not_same_target_replication
BANF1	162	46	True	False	True	Q2	cf82ecd76aaa342fb6c52052e3077121ad1f6b3cf9c69db2a53a6586e87f9d75	False	10691	48	cross_target_generality_only_not_same_target_replication
BANP	110	41	True	False	True	Q1	8cb0c5e8c6f0d1f30cebc6d82aa331a21176b86775009962022f33e5fde1efb1	False	10691	48	cross_target_generality_only_not_same_target_replication
BAP1	200	46	True	False	True	Q3	6d6ffcbabfc524114c5ca62bec6d7fa2d27eda08ff7c816437067c4d63c21d24	False	10691	48	cross_target_generality_only_not_same_target_replication
BARD1	140	46	True	False	True	Q2	44e4a8adfa35d77383079243ba7bcc22f8c2e7ab9ae731fd97617a78d82ca23a	False	10691	48	cross_target_generality_only_not_same_target_replication
BCAR1	246	48	True	False	True	Q4	e8fe1debd640188f4c9639f79d4c7ec59a7cb6171243b0647062d5f0e4387929	False	10691	48	cross_target_generality_only_not_same_target_replication
BCAS2	227	46	True	False	True	Q4	036bd75e16c99d24ef8dafa609ffebfa641c5559fddf9eecabe25fe9dc9e56bc	True	10691	48	cross_target_generality_only_not_same_target_replication
BCL2L1	173	46	True	False	True	Q3	28aaa2ab6c66e4f5a4a83b2619a08dc120d2a09ed2007ef976608d28bcb54cb2	False	10691	48	cross_target_generality_only_not_same_target_replication
BCLAF1	51	31	True	False	False	ineligible	1be8a0e8d76bab89f5ece13f8d14d82a923c842d87043f94b7ba28655f118a50	False	10691	48	cross_target_generality_only_not_same_target_replication
BCR	561	48	True	False	True	Q4	302042856e21126d72da232e396b4429082a23d1266a7dac27d31c2ecdbd7aba	False	10691	48	cross_target_generality_only_not_same_target_replication
BCS1L	70	40	True	False	False	ineligible	da47ba0fa78f819fad54d332206997fe7deac346a41e945a5d23d142a8a1e06c	False	10691	48	cross_target_generality_only_not_same_target_replication
BDP1	331	48	True	False	True	Q4	f056723b9bc15fc54c381e6a84bf2177837b3df372224df252f8072dcc91d202	False	10691	48	cross_target_generality_only_not_same_target_replication
BET1	131	46	True	False	True	Q2	9ba85d8ea1773396955a9f2233f127c909f892ed7c1e85b82743600e5c51f410	False	10691	48	cross_target_generality_only_not_same_target_replication
BGLAP	236	48	False	False	False	ineligible	fe80c1e8f485dd52d385231731fa7d5c02f8900fc43c03e8d4aca7d8eec2bf78	False	10691	48	cross_target_generality_only_not_same_target_replication
BIRC5	46	29	True	False	False	ineligible	5427c29171bdafdf84a5e5df0908eac25986f8a2a22a53e412bc0cbb4cb58b57	False	10691	48	cross_target_generality_only_not_same_target_replication
BMS1	28	22	True	False	False	ineligible	b3dac4f87753b5b5362da6153bd01471c8586b074e84a0af47bad3350e092b75	False	10691	48	cross_target_generality_only_not_same_target_replication
BNIP1	111	46	True	False	True	Q1	6bd22c957a10009a1a0407c243ef8becf7ef4d2684e9d95c3914eb47550940e7	False	10691	48	cross_target_generality_only_not_same_target_replication
BOP1	253	48	True	False	True	Q4	2d4ebbde69ca41bb5ba7c79a5a57a77561991e4d93211d20bd38414da1469c68	False	10691	48	cross_target_generality_only_not_same_target_replication
BORA	55	31	True	False	False	ineligible	44bf5e2a384668b4b75f250757ec225608a4dcfd61fddd3b8a097eb85584768f	False	10691	48	cross_target_generality_only_not_same_target_replication
BPTF	56	34	True	False	False	ineligible	8cca665ab9f333237357a00bb8f3e1fbee94e386ca6cc814e81d5bb1115a372c	False	10691	48	cross_target_generality_only_not_same_target_replication
BRCA1	104	42	True	False	True	Q1	52a719a081150b94042d50b3b61aea66a78f32c812b46ff4e3d88329f452ff25	False	10691	48	cross_target_generality_only_not_same_target_replication
BRCA2	147	46	True	False	True	Q2	5dcd86d75449673132a06e595b0dbc7543b2f9c9b2b635070b6d3288d16bb77d	False	10691	48	cross_target_generality_only_not_same_target_replication
BRD4	116	43	True	False	True	Q1	e0c057cfa9562169411218b9bb5f8718d619afcf052d0655d6ee1064a0135241	False	10691	48	cross_target_generality_only_not_same_target_replication
BRD8	77	34	True	False	False	ineligible	2a9d5dabe5b736784a64d58d36f9e65277d6ac2d609dcbbd77e434ec39dbe521	False	10691	48	cross_target_generality_only_not_same_target_replication
BRF1	166	47	True	False	True	Q3	53c22b096444006cffc340e5b7bf67b8f914169c83c5cb5e2201847e8aa2e285	False	10691	48	cross_target_generality_only_not_same_target_replication
BRF2	174	46	True	False	True	Q3	1b9823abde89ec759f2c14927561b80ba396bfa3fae676cda389e8859dbf62e6	False	10691	48	cross_target_generality_only_not_same_target_replication
BRIP1	132	45	True	False	True	Q2	dcc49b965bb7e5ad724ffff57a693990db275687e6714e4cad69673de8bb1e2d	False	10691	48	cross_target_generality_only_not_same_target_replication
BRIX1	132	44	True	False	True	Q2	bdf4757e21cfdc1dbcf968b4f16d69130f4eedbc37df68fe6b0947b4c8c545f7	False	10691	48	cross_target_generality_only_not_same_target_replication
BRK1	180	48	True	False	True	Q3	7ff1276d7de34165cb3d44cb172900778e8a8f05fc7da6ffa06b76fbd25f6108	False	10691	48	cross_target_generality_only_not_same_target_replication
BTF3	79	37	True	False	False	ineligible	1c4f78bf726ca6ba99fc16c198e1797cbf46ef5c1abbb6aed6038244c2498944	False	10691	48	cross_target_generality_only_not_same_target_replication
BTF3L4	141	45	True	False	True	Q2	48b204368bb0874040aeca2ae0d4d1501da13f0995d20f0c8077f727621dbaec	False	10691	48	cross_target_generality_only_not_same_target_replication
BUB1	648	48	True	False	True	Q4	e7dcaae2f51458b44760b5312c0a6c0b1ec3e47daee28680ccf56fee4d2f959f	False	10691	48	cross_target_generality_only_not_same_target_replication
BUB1B	141	48	True	False	True	Q2	91887d3e18e37dc3b946806c688d3ed6485e921dcc8906d93861d87fa8bcddf0	False	10691	48	cross_target_generality_only_not_same_target_replication
BUB3	409	48	True	False	True	Q4	e0b367e07cf49cf3bace5fafe22b4f9005a65fb6aa63f69c644611635fc6f284	False	10691	48	cross_target_generality_only_not_same_target_replication
BUD13	174	47	True	False	True	Q3	62c543f0982b8f975a593f6da9fb5c2032107bdba87d61fa6a8f40b0babf2f83	False	10691	48	cross_target_generality_only_not_same_target_replication
BUD31	37	24	True	False	False	ineligible	ed96f55d0000d4fd373ab308ae47285d2c33eab6e279f1d516bceda36deff65a	False	10691	48	cross_target_generality_only_not_same_target_replication
BYSL	98	39	True	False	False	ineligible	5b871c67cfd90d4aa10ff6cf6c807aa7537724049909afa560b57d43cb4ca897	False	10691	48	cross_target_generality_only_not_same_target_replication
C12orf45	100	41	True	False	True	Q1	9242e7f96289dbcca25a1a824212034bbcb80e0ae449b8050716238ddeb7ead4	False	10691	48	cross_target_generality_only_not_same_target_replication
C12orf60	110	43	False	False	False	ineligible	99cf88835915dc441b1974a68d7e7d328654195db66977e0c7bf068588b40751	False	10691	48	cross_target_generality_only_not_same_target_replication
C14orf178	143	47	False	False	False	ineligible	de54818d13bb377319c570b8c2538542bbd147222d5c7f3f8c4f2ce102b77bd3	False	10691	48	cross_target_generality_only_not_same_target_replication
C16orf86	184	47	False	False	False	ineligible	f8ced983397b0dc601265b4c0d6233701e95e80b9b138da3645c2ce3ba94fb4e	False	10691	48	cross_target_generality_only_not_same_target_replication
C17orf58	58	33	True	False	False	ineligible	7bdd4910308062a1b07ef5547343beedc9c2c67f16b05e9e6da3507a7d724b9a	False	10691	48	cross_target_generality_only_not_same_target_replication
C19orf25	189	46	True	False	True	Q3	9ac562b1537940d66d0a8a39bdb550bc5f809ae6cfd333627296ce0bfb6178ee	False	10691	48	cross_target_generality_only_not_same_target_replication
C19orf53	169	45	True	False	True	Q3	64d418640853bfa5dda21fe070a10f33311dd373c0c6f09f8c8bbf9b3b83b4e9	False	10691	48	cross_target_generality_only_not_same_target_replication
C1D	160	47	True	False	True	Q2	6b826e20c2c1231c15391367696fa9faa5c340e3ba5059817162bbde1fa662dd	False	10691	48	cross_target_generality_only_not_same_target_replication
C1QBP	210	47	True	False	True	Q3	206a5f8007400b09e97f71957b43838a9b772bc0a5ec2a77a47dea5c5268cfa3	False	10691	48	cross_target_generality_only_not_same_target_replication
C1QTNF4	199	48	False	False	False	ineligible	b43b35334cab44e3eaef021acd6fa26b048211e34a6c372e8eed30fabdc664cd	False	10691	48	cross_target_generality_only_not_same_target_replication
C1orf109	240	48	True	False	True	Q4	ce656064e24c60565165089eda0eb98f6b54ea300854a6513a0fcdeea05c0584	False	10691	48	cross_target_generality_only_not_same_target_replication
C6orf15	164	46	False	False	False	ineligible	3325859c2faa8502a19827ad5f64236fbcbbf91b13f40b85f4def860a13f8df6	False	10691	48	cross_target_generality_only_not_same_target_replication
C7orf26	86	37	True	False	False	ineligible	8a358b96d09d59e3fd91761b35acae366222b0d9f901629cb90a575157a40da1	False	10691	48	cross_target_generality_only_not_same_target_replication
C7orf50	93	39	True	False	False	ineligible	20f2bcf28e71ee452dbe11a0b4905adc0dcb82fdf60198e9fdc23cf834e4c15b	False	10691	48	cross_target_generality_only_not_same_target_replication
C9orf16	212	48	True	False	True	Q3	06bb72680275d29db028e358b91f90c2abf678c9ed88c2c78c0ca625e6462a26	False	10691	48	cross_target_generality_only_not_same_target_replication
C9orf78	201	47	True	False	True	Q3	f3007ca21ab4a892fcf26e9ef9b39c446186f3a29a9741d86f2719bb9b348bd1	False	10691	48	cross_target_generality_only_not_same_target_replication
CA5A	190	47	False	False	False	ineligible	8cfb34dc932a828f9dd2a819926c9f823b61441c948a958fcff1f902f44b623d	False	10691	48	cross_target_generality_only_not_same_target_replication
CACNB3	316	48	False	False	False	ineligible	ac032c417bb4b59fcd5151c54016d76e332db14c858772aab5fc74dbfe8c14b6	False	10691	48	cross_target_generality_only_not_same_target_replication
CACTIN	60	36	True	False	False	ineligible	7fd7609478db78241b83c9cf68abde811c39a59176f841808c1a04426d91003f	False	10691	48	cross_target_generality_only_not_same_target_replication
CADM4	381	48	False	False	False	ineligible	da442459d6ee350392028950e3bf0eb77e468e498722c9e81021e4d3282060a3	False	10691	48	cross_target_generality_only_not_same_target_replication
